,idio_capm_12m,idio_capm_1m,idio_capm_1y,idio_capm_2y,idio_capm_3m,idio_capm_3y,idio_capm_5y,idio_capm_6m,idio_ff_12m,idio_ff_1m,idio_ff_1y,idio_ff_2y
1,1.8618285459093025,6.662674332443559,,,5.757858560813602,,,3.134751016292293,1.644541119830583,5.554005850163561,,
2,2.117071806058168,8.783975750971372,11.631767164094969,6.6226006937267865,5.824525562940986,5.06241712850525,3.4864998140936465,3.2295909776995533,1.8119964196331901,5.9063330030289185,7.815713884788479,5.00855061445941
4,2.502144306393965,6.698246956513152,14.373460675063695,8.152353916139225,5.355898602086948,5.718364756159228,3.87146975929421,4.110055548774427,2.331768351363208,4.6507422145641035,7.867568539281572,5.480490038743065
5,2.361721283992396,,13.026973917589268,7.482759586970973,,5.3256924048269925,3.8686221053498113,4.545554516130097,2.3322371940952182,,8.470252393324884,5.821725965550548
6,1.96451765428209,5.886289919467603,9.144655306238867,6.721236252161278,4.089428283137591,5.046606906280798,4.798053201591153,2.729583946799545,1.943302007796203,4.522912812814399,7.788065046831346,6.399585005079054
7,,5.835242051671831,,7.805383021331347,4.346312298948708,8.111902855550294,5.134317774957316,,,5.139394685736364,,6.374272812512943
8,,9.355518807356374,24.80105724245873,13.213246596708176,6.454830969648883,9.97994460807265,6.6364983508701965,,,8.751084635805842,14.233550126656061,11.35157578417009
9,,4.921298497138525,17.181940273647946,9.498562639952956,3.704336343123951,6.777957891557839,5.1437446137846266,3.995477699638069,,4.361292819359702,16.173968131985887,8.901353161211599
10,2.43466594431292,,10.107929207121238,,,8.680756397736454,6.441675325128692,,2.3349327069369026,,8.322333034406942,
11,1.894495207625892,5.546170925151294,7.84315758501732,6.1593830939993,4.838361276952128,5.4386395781421255,4.640402286214972,3.0885595546869555,1.8589116327357245,4.326896313324417,7.147820604007863,6.110814959775598
12,1.0858497276441164,4.8669974761486365,2.2135181204959613,6.460579619553663,3.0423360576938405,4.507713701175158,3.823167821428368,1.7047080139838602,1.0780395863624364,4.597861893713942,1.9664054181899835,6.3687189211867805
14,2.239111502899703,5.049231861892206,9.625442678103873,5.918537175603273,4.423230109054924,7.684133719570347,5.125581806059123,3.3019326031617404,2.212632009486643,4.763236504415034,5.860653754589888,4.595266613075423
16,2.0753112173922457,10.722808404815087,9.266390374909935,5.947025347421683,4.938070811534487,4.504597537737526,3.342084354871602,3.1019118875210263,2.0004494868126868,9.222393705271342,7.799840764258689,5.802475365315282
17,2.635288773365704,11.44981731823076,17.744663125265514,,5.5205515740484845,9.916066041422841,15.72417888029526,4.050150963536586,2.5088579737802723,11.187932677373102,13.71908511091548,
18,,12.52863641193746,,9.538332507729374,8.073527504219468,7.3187936116039225,5.256399378877054,,,11.597712231039653,,8.389003905763389
19,1.8107734262972728,3.8051138256076857,9.628776035120136,5.894950904197412,3.4869149560411232,6.32968513288985,4.47126364480077,2.614689611266133,1.6223350974514457,3.525012363739476,5.8552060437647775,4.40104035634916
20,,,,,,3.6613035278623456,3.229699991770575,,,,,
21,1.9845142377995848,9.248041317033143,9.98463652457078,8.09489850789516,5.5351438657839775,5.527068687711594,4.3392368759650175,3.2951859601147366,1.883786160840047,6.92443599916945,6.6927483186433365,6.160547232759826
