,idio_capm_12m,idio_capm_1m,idio_capm_1y,idio_capm_2y,idio_capm_3m,idio_capm_3y,idio_capm_5y,idio_capm_6m,idio_ff_12m,idio_ff_1m,idio_ff_1y,idio_ff_2y
1,2.1354222887042287,5.497791301340536,,,3.1504633833048836,,,2.9017919239822123,1.8859944980402104,4.342021166264913,,
2,1.86487753819806,9.544897189725583,8.705495709622813,5.858498531471767,4.370849502796569,4.331777498435844,3.5568939685640215,2.562823796310925,1.6073657383797841,8.333982983374472,7.954416417703773,4.923022063259719
4,2.7356096821288305,5.6102634059099366,7.270718273956055,4.2970710023710845,5.237932081296299,3.560678111117813,3.0659296976136576,3.2438008084911023,2.6962301941032405,5.54902176944112,7.1311905719582445,4.049619158355778
5,1.7103905577807208,7.71504134238805,6.737848865511029,4.196776869057446,3.107453324989132,3.3593838004497405,3.3438263445749103,2.537219766205545,1.6518992729370974,6.3466318284976175,5.0686204556249335,3.558661914593932
6,2.1112604079547777,11.468184152831054,11.393900061323528,6.419308808122247,5.114827886960901,4.58572954279699,4.900897309057423,3.4591980789317964,2.043003618315036,9.055171027040332,10.985382549095828,6.0443280031588
7,1.9497459975797584,3.5558987284233066,6.233965645764225,8.188200465386236,2.7399416880563576,6.736701942967564,4.503403282675147,2.1333813673429747,1.895897374559288,3.0659332154823615,5.746654813878791,7.906862447678541
8,2.7327051625275227,4.1409346849371484,7.113215329319612,6.606641934097348,3.570664460957884,5.714190431613807,4.597769360186655,2.9718593585990387,2.6951125774952756,3.5695325801543345,6.455700277160603,4.7495824723184406
9,2.0430299504321585,7.0829096401340434,8.566792508420278,5.5540665863491885,4.224429106786249,5.280064231816243,4.339514541580648,2.5536700706938933,2.0231394856459577,7.027549402116415,7.936556044063796,4.937339103528582
10,,6.228223285921401,12.888068189533296,,4.699104186975107,,6.043559980256402,4.6893430731111145,,5.965185444819173,12.044758243062722,
11,2.085517192373051,9.159102547463991,10.017403628753497,6.635405469662943,3.867368594403265,6.021649090876951,5.0452329695255616,2.3198650311470748,2.0079249947222366,7.036491883378641,9.030587779629707,6.54310834739782
12,1.9935605666480327,3.9409427167456736,12.063852593784436,6.413283489582193,3.2678491545880224,4.8078426552503295,4.2609819071332256,2.223236508923803,1.9893982778379231,3.705827133202008,10.696742301353261,6.3338062361725855
14,2.5202788411026145,9.050908796345364,6.446004103544331,9.937571626964603,3.9020861064232863,6.858186126021341,5.007877369997517,3.019821740144825,2.4518163367643324,6.907842914166454,6.217791199723637,9.919425994121461
16,2.1510299349368176,7.2662029732367825,7.140615363190851,4.7623943306108565,4.867371073405216,3.7365766092021517,3.4098394046039218,3.6180087246493797,2.1204058197061784,6.546857035056777,6.599577150914231,4.567022893315745
17,,10.32186520915774,,,6.1192149599724015,8.323112791965032,17.175224196543855,,,10.294525028654467,,
18,1.8489404730541847,8.084274648909135,7.145002754726742,5.676648285788808,3.2466434745772967,5.751416905970423,4.032501392589782,2.1614336200089315,1.8001901698335736,8.005633626368402,6.394231636095079,5.047833160769299
19,1.6410429646614355,7.042651474827303,6.459400065505551,5.596420108464709,3.7697971265806745,5.917748691055131,4.322573937371221,2.210085584599732,1.5886826908141916,6.746185267697033,6.0340486667608575,5.3116803479614365
20,1.8276621123855707,10.982307314783476,6.806468243266913,4.412774298238529,4.191087023077697,3.319112591009683,4.766437977341772,2.6000249600405723,1.7379541572854726,10.15938874986676,6.478983509837527,4.391323037931809
21,2.072642668202045,5.271195015828937,11.779269993794653,6.499924229202782,4.058719223909361,4.645589021232121,4.270951589450223,2.720659425050746,1.984810495344884,5.132619511200977,7.323585394051987,5.578205227966001
22,2.7252264482967794,5.813643958670102,13.889861677315011,10.007142374950527,3.280663496440052,6.8181330543199925,4.423266970942653,3.4403925627814136,2.6585896358258663,4.5392577129612715,12.35616964520184,9.630007882747222
23,1.6957822280322714,4.950502966073661,3.354133745286246,3.2068798291964744,3.2137370668354053,2.4684451508501333,2.906001515310168,2.6325223184572515,1.6774428231220502,4.770595532102687,2.678797448977463,2.7965322057095667
24,2.5499398725301194,10.398601334062539,11.350590917024464,7.424673999127015,5.228450449572226,5.4666921467070315,4.253923208923206,3.2866535473522234,2.289227904052709,9.00451488714345,10.875446626815107,6.419425575846748
25,2.361985397880594,12.023954457114275,8.848527795460019,5.5723193716782475,6.170565730600554,5.363905323005472,4.668531391050376,4.1741748518038575,2.3404367206537087,9.908520753430981,8.524788418496305,5.020397194686722
26,1.4705879015252052,3.7712494254036213,6.703386353709588,5.1241882058799035,2.616152361211609,5.3455657082290635,4.306911382739068,1.8751641010999285,1.4705249088714152,3.7398649123057854,6.46046576120933,4.830027274053358
27,1.298065229065834,4.695085813710217,4.467906547962082,2.7531111060725006,2.2913624773048267,2.8061105669053847,2.278981596250501,1.5985874649359828,1.2327351742628223,4.5105948079249885,2.457956785920297,2.5582874895400964
28,2.46144168828402,7.77483399671155,10.45294821623481,7.3523100376303026,5.399038969165784,5.860020274698732,4.8929718482441755,3.2285854795281117,2.413075399010725,6.165243812118978,10.201607790364994,7.110616923922433
29,1.9430595866076787,11.773622283421373,11.066031862878065,6.42195878279819,4.779878501586842,4.440507365840446,5.431738290094419,3.2149716219121776,1.8811832109858804,8.899024825144242,9.57461909792149,5.4812853608629375
30,2.149340349699829,5.569398737181021,8.263133575019706,7.1454874099235415,4.537129012006319,12.368891484411602,8.165621530939505,2.915668858788485,2.141467774973557,5.190678294965483,7.488946897869482,5.652477716477666
31,1.4883054985315545,5.571929727444897,5.957508292002653,3.959927571697616,2.7669741690097576,3.162660755916464,3.465584521770168,1.8877780131394093,1.362440863748362,4.532396359795566,5.925660774585544,3.8699680212921512
32,2.084722448183939,3.7746387108012227,6.664288430317235,4.583592991530933,3.947645064540112,3.4985075852515446,3.28905098428221,2.611018899938345,2.030318200009425,3.565735428268264,5.338310589122174,4.493696490408153
33,2.279408743604396,7.425480300319438,8.213010861244395,4.598571717199848,5.797206048561576,4.269765208724548,4.2478629350734485,4.210039298771903,2.2792568626140417,6.973542381615857,6.8751216605108505,4.302521505086712
34,1.859715112120416,7.186867126456598,7.656493563924896,5.6281065969666635,3.1194580087475114,5.43208605792338,4.610557779292318,2.515153395077213,1.835679927321073,7.092022746757379,7.319227089740927,5.5389627802296815
35,,5.9341619547527955,,,3.0034747598058686,,4.560447016311708,2.9169424082119866,,5.863573369110657,,
36,1.7558136231299897,5.734662566458079,5.167489783054656,8.082593812827287,2.860752590381197,5.4281876949993215,4.5047481312152975,2.3869797051693498,1.6827272839705218,4.828931504477758,4.833850828839768,7.894334873938662
37,,,3.1848564082757145,3.3014364040384185,,3.347613647862368,3.2675957578161534,,,,2.6173697399932623,3.012818258461885
38,2.7288104786720164,3.8352328813815117,8.721520390303086,,3.563734541683212,,,2.8153121277081876,2.7189503726085813,3.753481601927812,6.364244364516377,
39,2.055822602948521,5.626797544357107,5.3617601836350195,4.9021660712686375,3.7854160734546975,3.579393401993684,3.422289043077838,2.710302470894044,2.0252652875418264,5.510395304339653,5.041052102506535,4.7239809126499015
40,1.0730473196493542,5.290332652690705,3.3512774321328607,5.443523945496948,2.3851825533860516,3.867031908714383,3.529680170002872,1.4977271852126208,1.0154685231401297,4.603521174331595,3.33397163853952,5.114420627383827
42,1.7301182798811927,9.247849780792118,6.441957520467629,5.200124121744425,4.081196245411402,4.754221457324392,4.007871833060672,2.491963726018976,1.71618626977753,9.052381747817963,5.779505311586994,5.187036468262487
43,2.3122817015859183,7.316778819797566,7.5671120081807315,7.665202594686072,3.626644754267952,6.644421995892548,5.083988276419566,2.7330960409700227,2.2246293956473897,6.492518884021286,7.377464990595218,7.3715794585855425
45,2.052133442109048,,9.042975308493236,8.084042146713157,,6.3585219237109545,4.894002057942164,,1.9788315734671795,,8.84841161987288,6.207110766438293
46,2.1293958961463932,12.650597165293384,10.42796136688025,7.2293869779091215,4.885063089084303,6.083599773427062,5.025304765841297,2.7737915902217014,1.9542565528056168,8.422037777780304,9.885570852014533,6.887477861900819
48,2.3798565821477946,7.721288147978095,12.338537028561461,7.221493105544074,5.091099718254006,6.8092785059235785,4.6030019336371835,3.5479385832017187,2.3700839488607737,7.532691342649188,11.605846837156355,6.791647818860184
49,2.954312432026698,5.1301445745293535,9.274765956653784,10.352990863877112,5.781115267012713,7.672288473437155,6.799375666458517,3.831298453715029,2.7958650519182364,3.491842939955303,8.901830137646028,8.22992349159495
50,,4.10907045894921,15.682554853321012,11.300284415112536,4.013711304700613,8.753103153786295,6.335570832703622,,,3.7874061856166352,13.93616246742306,8.51166131885589
