,idio_capm_12m,idio_capm_1m,idio_capm_1y,idio_capm_2y,idio_capm_3m,idio_capm_3y,idio_capm_5y,idio_capm_6m,idio_ff_12m,idio_ff_1m,idio_ff_1y,idio_ff_2y
1,1.3145583243066823,2.8177050422965624,,,2.1104765628569435,,,1.7013697680413475,1.2358656960698344,2.570137697672148,,
2,1.4256905692744075,4.028978978765156,4.550698577579204,3.784698045667703,2.462184658732248,4.1235596831763015,5.920187300534887,1.7365798464437754,1.3332639017912336,3.666005931648261,4.185019512338363,3.316147433449427
4,2.0569326182850856,4.6837743163412044,5.034638387247799,3.9585067412875135,2.806276056354688,3.8962732341064106,4.0225657100148835,3.5136313833822834,1.975469495362276,4.25962605939996,4.430510177294312,3.046221323159567
5,,,,,,4.727658801109179,4.897689728005627,,,,,
6,2.0221760021991098,3.081228672232589,4.156206002101984,9.379575449253489,2.1489454789547757,6.938094545925415,5.700302451358384,1.6618350104485091,1.9755634630619607,2.9521470728247774,3.0835515125855424,8.743080738160911
7,1.7132378922641438,6.572216635931735,3.784942751061597,4.045231296417379,2.9346848702279544,3.524453047737788,5.34878926738886,2.323414141061505,1.609787888347024,6.047437498421594,3.730914582370212,3.838197899857759
8,1.453430648480308,4.235433920031126,4.117752561258707,6.980768459832525,3.002230111668892,5.3012962156446415,4.393825105997243,2.0535922831072884,1.3851647615103566,4.227340840895927,3.1214576486598764,6.810186517290371
9,2.8890182947605147,11.815172093863552,8.82616888090771,6.982655248423124,4.95409673149115,6.508144063949205,5.798019996621532,2.9284575101625614,2.8309385688247484,11.379352084929454,7.443059385662996,5.825186413260218
10,,,,,,,7.068872633574065,,,,,
11,2.55907322799734,4.128205751767689,10.702615880623268,8.327487444585952,2.752130818474735,7.314189578017382,5.385097680326741,2.689392107739632,2.4580761264076245,3.869309535652032,9.720497884542748,7.715573373549602
