,idio_capm_12m,idio_capm_1m,idio_capm_1y,idio_capm_2y,idio_capm_3m,idio_capm_3y,idio_capm_5y,idio_capm_6m,idio_ff_12m,idio_ff_1m,idio_ff_1y,idio_ff_2y
1,1.7092027696070555,2.7794237189405737,,,2.8356704026733657,,,2.1058215563144196,1.5021310398034409,2.1077913648692497,,
2,2.1615416389587847,5.912163558389107,9.063942812058468,5.8379337640223214,3.676304753341858,7.280698373530287,6.214834380791234,2.60263390355687,1.8635329581044031,5.5526575095464565,8.036531470068349,5.733427128642273
4,1.8341414896853967,9.208192298427807,6.988119009758874,6.448549945442648,,6.131335536393424,5.773312650005213,2.7052847747986046,1.7750234005223076,8.988582523330837,4.516454400283823,5.561688957458654
5,1.7180075038877725,4.591580110270908,4.6394576212216725,2.9710838880745296,3.0560116812023064,2.2718952160738524,16.140277290355552,2.435895999857666,1.5690019976203415,4.052436014278525,2.033742322725388,1.9012510055364755
6,2.040110431167976,6.655015944836937,7.726442189674086,,3.514695124650581,4.081628193519735,3.701284272090919,2.90498948469886,1.9474219842667355,5.9864534266591605,4.4707199595351526,
7,,16.068956103160158,11.709548468322401,,11.472782296236849,,6.390472807294003,6.555582227531715,,13.419912955110847,11.609307200091813,
8,,3.8353826703270637,8.769043237722812,5.341931672182222,4.846174688368127,5.179113743935319,6.933113446550657,,,3.710824327048266,8.500674554886386,5.341112305950304
9,1.6590809354801968,3.892448334887208,6.710932556465275,5.091388136035271,4.4701879300106535,3.795172419518285,5.272935658649604,2.494007881004916,1.3867985299282801,2.3129664321107684,3.963463198500633,3.8761220186732346
10,2.6746604133500003,5.9352830973657635,12.683297282104128,7.3750204035925115,4.170220072548022,5.3129656358341215,8.566278837719556,2.979790418676881,2.622960425116644,5.49938479747412,12.567348312781055,7.287449378455946
11,2.2211071524765047,6.8463330350762055,5.378814603834053,4.262991634587381,4.714094460994716,5.083893125252152,4.479567011173659,3.672886477255783,2.1181376385540003,6.303980165197883,4.799212283062771,4.1779180835746415
12,1.1137867476967784,1.7404842787626074,2.9888288984510587,3.384740969071519,2.384778795792549,3.447810689017033,3.1420303606905766,1.6001994566801834,0.9606475394952008,1.5457680941862388,2.110389085000745,2.776627125664996
14,3.264787470774734,7.672945196468784,13.418118445613821,8.146767952762335,3.8263828324739033,5.779663640382405,5.048128172417028,3.2009232929365106,3.2061788878891564,6.259226765744716,11.17103185573651,7.6175740274250865
16,1.8559897907101983,2.9355690050288237,9.191763831771253,5.418343679196787,3.425193310504473,4.5200375021336034,6.246046036010685,2.1078610885617706,1.7754034467130042,2.7181873878349485,9.004012846873415,5.37173772519112
17,2.968130539268273,8.73805352818761,7.54882705166062,5.554211022462923,5.907072407441097,4.67328532310156,6.214631229448131,5.0949900306086215,2.9020751660618456,8.242769913765963,6.985319030295094,4.866304007850946
18,2.8378537980009666,7.740062230160652,10.293622806393367,6.486193411477761,7.204207432136037,5.4579776494419265,6.709626894274344,4.278277479627343,2.663470352211826,7.404683900256599,8.222255440440847,5.673946790724116
19,,6.080975585588209,,,3.380108057406022,7.766726789538707,6.113192522034838,2.9410130922721183,,5.526077561486668,,
20,2.9115763910091803,12.111229656557253,11.850992739657777,8.169473459497324,4.859496367560586,6.2153640443153,9.541663269971918,3.0797218490687666,2.761981278790557,11.339758099241298,6.612346507238341,5.846753255383081
21,1.9986281998108681,5.764405433373095,7.176432230870807,4.598899358522823,3.1318837636087817,4.161237628380942,4.5291265468383655,1.8835846024180016,1.8146345321023891,5.739402551007321,5.339555213731777,4.105340777453945
22,,,,,4.183948187433777,5.146753177310714,4.479478835880744,3.5498188692858017,,,,
23,2.9475466386583866,9.168845770349119,8.416983089673906,5.510618226250997,5.572414490000856,4.740150481921492,5.688857024519423,3.8990325698635417,2.867338938514107,8.855215985434617,5.777298155353463,4.546925859024265
25,2.467644329992724,6.640692547901218,5.5667588107609225,7.568057366679343,4.947133364569356,6.346152208348992,9.500239078138916,3.456194498968073,2.3905062851979406,6.350957479561832,4.27207330013519,7.0786579991632665
26,1.311075993958833,3.7803371113718223,3.7643580633581366,2.8675994329367707,2.139277713197443,2.9339701712987183,3.27375053659419,1.7397781475658558,1.2557572274653523,3.662634823332315,2.1026143310948973,2.043756670855108
27,1.0647623274501186,3.011542525551888,3.528667537740051,2.035672425536824,2.571313059169772,1.8076429825331,2.543181576075541,1.602741334715453,0.9812622029090208,2.9100430347852484,2.917435152550475,1.8160227210822144
28,1.6197182755573911,3.4369460417487443,4.474701101544755,3.6623515458789813,2.6750252088028006,3.1246412298840305,3.047199542303621,2.2811056616098204,1.597750439493348,2.9387894964425483,4.309555625705453,3.634243430876404
