,beta_12m,beta_1m
1,,0.6220225502607434
2,0.7876671417422756,0.6776427673560909
4,,0.9127329221568148
5,1.1147266934432671,0.8754968096117424
6,1.0021759350981772,0.4929668664899066
7,0.8332718868982449,0.7734764949003352
8,0.7310954658928509,0.8018367072627779
9,1.4299017834323795,2.039058797548252
11,1.1501137064369755,0.748443662021369
12,1.3910926085742925,1.7216806281421533
14,1.0735757406409847,0.8399203439231427
16,1.0754674683252192,1.250714883302409
17,,0.7878892847547525
18,0.7510212379828308,0.5300917049774833
19,1.3173156398030534,1.2497307362607817
20,1.3023081839646984,1.3648203726823207
21,0.9576288847532752,1.6399830425745288
22,0.9051817066519564,1.0656538998794098
23,0.9022647681108488,0.8954824615278661
24,1.120787232878469,0.8674813213964747
25,0.9845563522615786,0.8465302318635446
26,0.9236973447183936,0.8028639805041787
27,0.9599502656598784,1.0501816676975213
28,0.8253297942915547,0.9739314184242682
29,1.1916071143366904,1.0306146503330122
31,0.9367986664812622,0.7408918575449841
32,1.2000272897181214,1.253508207033296
33,0.9353864060972856,1.0730224453587491
34,,0.7527297949552711
35,0.9028977289031274,0.4326564211477646
36,1.0915172923100531,1.2418335780565992
37,0.9514888272356266,0.8908994335720842
39,1.072510738455372,1.275224228477588
40,1.1029776940684402,0.897696664219068
42,1.161513253312322,1.089855616604542
43,1.0594448689874345,1.0851208468465616
45,1.1207851493591687,1.2658213103153155
46,1.0520295169384246,0.7578148758853019
48,0.9155088718621828,0.8215514661072022
49,0.8711842766415931,1.3118437471557842
50,1.1946393600923306,1.480762534928745
55,1.1309430766865771,1.089922974707746
56,1.0065164310539658,0.9557873790311999
58,1.1167215087546087,1.1892008541934622
59,1.1793358919626493,0.7602285199410959
60,1.4214466848997267,1.3708226848171776
61,0.9896013986494732,0.9695004672061162
62,1.088342053533442,1.1945741459524308
63,0.90418214185142,0.8540703744395048
65,0.8801861686084426,1.2780929496083215
66,1.1541455166857897,1.5741707366910962
68,0.8582552408739865,0.8156573145667891
69,1.0129330170977344,0.8310226970891943
70,1.189498766736067,0.9975505470177684
78,1.0365700773314754,1.2904124148805962
88,0.9247336329593928,0.8533458398322356
89,0.8997848716601017,0.8854098090020668
90,1.1408148811360888,1.4001072651103894
96,1.2502437520922374,1.2587473511932177
99,1.1673066867190889,0.9950768970263832
100,0.9635441165861672,0.7937591323675642
150,1.017570269890768,0.9983804175178018
151,1.3011356167310135,1.3612179181859525
153,1.222800157658111,1.3997003464313185
155,0.9827144160835992,0.772705287986438
157,1.2805671013640565,1.6477380144806144
158,1.1360660039926649,1.2707436597573754
159,1.370002773115038,1.4380836052685717
301,1.121679725989197,0.7926281325767845
338,0.965014845449882,1.3832408739932307
400,0.962444072118792,1.1250186450225232
401,1.1291197217953688,1.2200157922396282
402,0.8178289937983939,0.7225621312993
404,1.1854751217884731,1.157341129065143
407,1.1234843039547613,0.8842184179674821
408,0.8652935713411073,1.1012496172359645
409,0.5765635838346501,0.16969757017632148
410,1.180386983248803,1.358670871606931
411,1.0935901588702737,1.0721879538980834
413,0.93886957078285,0.8674804149396238
415,,0.8281200704285511
416,1.0812342369509835,0.8414730789282325
417,0.8817772547238042,0.6543773340595498
418,0.7380229640444148,0.4992930937100107
419,1.0291621322937214,0.9541603556874606
420,1.0067794126767473,0.8131414484257445
421,1.1643504335753545,1.089452163700078
422,1.3311931305678717,1.3875529299761618
423,0.6764854921141223,1.1099223472529045
425,1.1556050935495343,1.6507157320306811
426,1.2222450100174316,1.7305459791835696
428,1.0085779301663265,0.883604742426639
429,0.7814629091451168,0.7652713791760708
430,0.8513942432049113,1.058743252425936
488,0.997268349064104,1.1175450645457918
501,0.7245790859120008,0.5985361287632104
502,1.1003358310263869,1.0023821903307106
503,1.1505101514929934,0.7007348833096971
504,0.9185252629970384,0.8766257459655991
505,1.0874996334137783,0.9181728490842044
506,0.9747997708030508,0.3963857794396424
507,1.1910019315009512,1.6548925017908696
509,0.926539068170974,1.0036731347743215
510,1.1328863322375646,1.1291826839346824
511,0.9501050283072884,0.7529525425886257
513,0.8283176712166193,0.9536808479160794
514,0.9739298778792108,0.3136944274454577
516,0.9174978084566698,0.6540171451476982
517,1.103598794774487,0.826393839760984
518,0.9034244681404066,1.2644182022944666
519,1.082849736347926,1.1107833040873392
520,0.9297598695761178,0.8593716438064481
521,1.0436607083688059,1.0085719921690663
522,1.1806495809071382,1.4860731591710088
523,0.9420823129328664,0.8692760485195221
524,0.8770296538900562,0.9877100755429328
525,0.6669562193176377,0.7055991343001073
526,0.94239092144656,0.7754833207479288
527,1.062417492825476,1.1577217546608969
528,1.2383005324497949,1.421416687809958
