,beta_12m,beta_1m
1,0.4400664183825327,0.2579720306025204
2,,0.22675851666066146
5,1.1858408075156823,1.1698724635927356
6,0.9731458625578152,1.6084949172233736
8,0.9420125771867208,0.6085517508288751
9,1.3673924242964162,1.250735693049435
10,1.1704873631518038,1.5882401400050865
11,1.0333897288801912,1.7303177510801877
12,1.3243789805348265,1.7014007762327863
14,1.103174483734314,1.1164165859028214
16,1.2684707729329714,1.4954575451916694
17,1.5088900416948814,2.0029898741437178
18,1.4261989114117903,2.172702247471393
19,1.1081074463166125,1.9756570306490717
20,1.2174841445494131,2.0139946253836607
21,1.2050918490480214,1.0743030530534476
22,1.1426806367818334,2.8255676871064206
23,1.410377694986345,1.96758377009204
25,1.1451370214623808,1.170140132928343
26,1.4678112720256504,2.231900301113566
27,0.9163769646165018,1.0647856907330906
28,0.5638607195868549,-0.14644902854645134
30,1.1923230507851732,1.0668313944849248
31,1.026874067061765,1.7088378430780424
34,1.4379315942420403,
35,1.1056983421589854,1.6806008600577007
36,0.8707846514158165,0.8580489993348075
37,,1.1051551870455465
38,1.1896699991528463,1.6172447766203557
39,0.989669484039672,1.4973144721587521
40,0.7419065498741173,
42,,0.4672584221545582
43,,2.6301790146515107
45,,2.223870432198153
46,0.6661529811656801,1.0458115704013915
48,,-0.255898343868963
49,1.4416686661786453,1.3228873209793477
50,,1.5229921560275996
55,0.9774743379447012,0.9641207778880734
56,0.832605740725684,0.4331986414682383
58,1.6162026147542712,1.234122812262249
59,1.2173756967665574,1.4376635194263256
60,1.4547965867589618,1.3977785954110722
61,0.8904959657516499,1.253751701934794
62,1.4887586678557343,1.2975538421021071
63,1.0373775378077834,0.37417523067341707
65,1.293069338849115,3.3149890540077456
66,1.2295913966107053,1.4869735266096908
68,1.2738913821276752,2.0662290749813814
69,0.8466121375789037,1.111702253314634
70,1.3193296663043117,0.9535479157647844
78,1.0401571609028943,0.6487591270855376
88,1.04412154377584,3.1055609592244537
89,0.799108855542841,0.524910481113023
90,1.0726349494317176,1.8526609568969523
96,1.1207926553346228,1.1278245762661854
99,1.3600371657464103,1.1855054634183677
100,,0.8385032118587991
150,1.2504625748894975,1.310735547178042
151,1.375740309133486,2.3607533294561325
156,1.2483024541297645,0.588155980015963
157,0.7786925827044329,1.3350687476209415
158,1.2405412348310256,2.962753521439183
159,,1.1187450949175444
166,0.9276955839800136,0.6725492899902422
301,1.0862420709600338,
333,0.9705974977242952,0.4854316891614627
338,0.9411992536677476,1.1194217327323706
400,1.3870062776219334,1.7402760355781577
401,,2.8853513311995984
402,1.0625552439262438,1.4470646585386762
403,0.6709993139587339,0.17404265198002242
404,1.242164618356815,0.8820903493163046
407,,1.5445252280792754
408,0.8422669491108286,1.2530730243988375
409,,1.9778771827420831
410,1.4445933563955546,2.2034019388104977
411,1.0268934105411591,0.11247898291400653
413,1.3958461138646945,2.099960018632061
415,,1.6631390814686224
416,1.4998548222635266,1.548869162300655
417,1.1834794779489173,0.7966120824658225
418,0.6208865374989228,-0.4153028876620436
419,1.3032190866540172,1.4046187587488792
420,1.1637998738263406,0.9776056694343298
421,1.1787297244712645,1.3549291841986442
422,0.9573701125205448,1.0861190716600062
423,0.7167701834289373,0.6276234373888987
425,0.8866724434347433,1.8684169421405528
426,1.2404021832856162,1.6633368276724183
428,1.050014461057898,1.0846708272125705
429,0.976844182948246,2.291322623937908
430,1.0485761588902045,0.8898230691606992
488,1.0959611964171314,0.8115195455409564
498,1.2999837271158834,1.481267380197171
501,0.9693163445614515,0.07729791089686336
502,1.4091986428101846,1.85156715440979
503,0.8590846009669921,0.4122780327427814
504,,1.00995796949092
505,,0.21658389972028208
506,0.9170555513227704,0.6536039281310566
507,1.0637388095317608,2.6500819253341885
509,,1.2276861037811422
510,1.1232566680772895,2.441150617396947
511,,1.1491545105464087
513,0.8277549801152725,0.8521885007294542
514,1.2346520102240208,1.9069130798820235
517,1.230603824576956,1.754743001680788
518,1.0312678290729946,1.5694814060621631
519,1.395237984187606,2.6768558281736925
520,1.3313651432070313,2.17615983541581
521,1.254777155160436,1.2821221707709325
523,1.277799729350246,1.6271051087477018
524,,3.694096606828582
525,1.2140698538519994,1.5042600345009138
526,1.1837352771363308,
528,1.282816976075019,1.4763431213916751
529,1.2886876922499635,0.7335565831319089
530,0.897208083247509,1.5398451599674567
531,,1.2213502596041728
532,1.4734827395164474,1.9161205817872504
533,,0.22568623507672264
534,,1.5600311091363566
536,1.1452177796103946,1.138479585464718
537,,2.641508364991433
538,,0.7134403892187121
539,0.6513904433103026,0.9803519664788442
540,0.9908694531197014,1.210421335702748
541,1.3726163098950672,0.8264270741095971
543,0.9620865932262266,1.098332997644652
544,1.0883885623949403,1.5121237243316183
545,1.2519142977046949,1.4269794157757194
546,1.3027947785229823,1.8725772148253743
547,,1.2959285491280006
548,1.4177276541665398,2.1390031557795823
550,0.9052527622816536,0.7323706748134143
551,1.2521837028451692,1.3996838747948357
552,1.3234369803209192,0.9886240087135252
553,,1.4986453505139594
554,1.3659360085012695,1.5934307994715515
555,1.4733212146538168,1.5064772287040231
557,1.1636498603120615,1.4902033701670758
558,,3.647919714746488
559,1.3638874458529155,2.0158585104596263
560,,0.5277445434871073
561,1.5777586724692267,1.5041307485800242
563,,1.8220248621439992
564,1.208916526721071,0.952661382020512
565,,2.183408334167288
566,1.0583195132832142,0.8239136538527314
567,1.1577050004367533,1.0165084302482787
568,0.9001513014677768,0.2918119335191945
570,1.174287795055843,1.1925318206104842
571,,0.5012074427096591
572,1.2235640722710683,1.4704866932215734
573,1.0817671306987364,1.1090535007629336
576,,0.3236089136808712
581,1.106431859861683,1.0532494421639291
582,,1.0980590436073483
584,,0.21177917921474496
585,1.4411842870709015,1.990643089796157
586,1.1483360576262842,1.6303886121138382
587,0.9435020269021952,1.0701944578500997
589,1.183888848913944,1.3365561983847465
590,0.9130158646856952,-0.07788914038156759
591,1.1984577548842723,1.3058826986270902
592,1.4693863437423775,1.2949703638277523
593,0.9665231358568154,1.3716215116046009
595,1.309474303924512,0.15730918790311954
596,1.0813667641360958,0.31202126411150144
597,1.119546112154179,1.9848231488698955
598,1.0090774285846802,1.4756316520886603
599,1.2703751431841417,1.394219371077296
600,0.8910929343349809,4.646650915746278
601,0.8968690394964902,0.2496665246845616
603,1.4640929698153302,1.4524764108408128
605,1.611327576050815,3.4576560094620223
606,0.9461153966536836,0.6652362469784563
607,0.9455493532967366,1.4564950440307254
608,,0.9029476016006459
609,1.1349617077625085,1.4225636050792991
610,,1.6468856005149983
612,0.9595407176411134,0.4474024700330516
615,1.3385371936880368,3.6240064930227818
616,1.331912384714097,1.6999345333566631
617,,1.4119569960560836
619,1.3802413775757345,2.356091350201225
620,1.010035677670329,2.000291652182532
622,0.9521660493968518,0.6376816258122007
623,0.9825360157119812,0.6685578016725222
625,0.8134701415555579,0.7942814400600495
626,1.72542880129756,1.4487074192165148
627,1.1932897766693795,1.0567338562882678
628,1.3646512641912825,2.1870197511804834
629,,1.0297127792125598
630,1.0076764685615092,1.2722905350324951
631,1.1181948117192315,0.6435370361884079
632,1.2742507538206904,1.033471597274581
633,,0.6156471489368547
635,,0.1415434011534777
636,,2.073415862694101
637,1.5370943490957187,2.0181226214238794
638,,4.323658234696584
639,,1.1044252964555863
650,0.9990209636362022,0.9041903445571486
651,,-0.13515375315055175
652,1.2933041982345426,1.2340705909736678
655,1.5661524667014328,1.7257062787259352
656,0.8808159096051441,0.2340489048627871
657,1.630439602702162,1.766411932448673
659,,3.091408565622156
661,0.8054182669104788,0.09303918806151468
662,1.1203527460360678,0.7038364003410565
663,1.2201569152397806,2.0330060563493784
665,1.1373104239633052,0.7727416002828329
666,1.1998657017909409,0.9387584757100748
667,0.9983671566613922,1.1606055315157309
668,1.4372077490856014,3.1513743914658554
669,1.2863931776742557,2.1785703502432594
670,,0.9940710125842708
671,0.6293090821090858,0.4080295483097605
672,1.1071860232560644,2.0145031444473482
676,,2.075192174510627
677,1.2913325091066148,1.3471961233923966
678,1.3647497213387365,2.235926238618315
679,1.542837379857752,1.2668550031414871
680,1.4656606329077466,3.1659759658119446
681,1.4274816948071771,0.5750137856404913
683,0.96503882358462,0.8867209151434329
