,beta_12m,beta_1m
1,0.8549104363148776,0.4097037949266373
2,0.7982375220313362,0.8877343018660907
4,0.8280165984383743,1.2509526807189406
5,0.8897160407023861,1.0762335334766702
6,1.0274035750651769,1.4226855268601275
7,,1.143352585572973
8,,0.5887841074123341
9,,0.7590530848062521
10,1.1258849120481231,0.7827499340480824
11,1.1603422261647138,1.1097931528879692
12,1.183216928690988,1.057536471066477
14,0.9200304989630782,1.0813767064089892
16,1.2441975694622065,1.7888879836196747
17,0.6300485154366166,1.2940028681062865
18,,0.8024780246814358
19,1.125959117613271,1.1454010708325384
21,1.1337472946992109,1.124919905819488
22,1.2580946622136593,0.6438509987196442
24,1.0485026713404904,1.2063143221530046
25,1.1472331743133124,1.3654800903783164
26,1.1608926260127772,1.1227358501352007
27,0.7165599382606918,1.0969835592725974
28,0.8122705602097646,0.4141451058341352
29,1.376025993631041,1.6478579693777364
30,1.3042804332637608,1.700526640756121
31,1.144057143908604,1.6328997529628484
34,1.0435243050692962,1.1609172478423886
35,0.9142041116441532,0.9988147958454948
36,0.9932250833644036,1.7004633176300532
37,,1.7614723458789312
38,1.1115801556647882,-0.02597197944015512
39,1.1752296015645771,1.5194969891933308
40,0.7426235297027404,1.1714163738101786
42,0.6650692506586384,1.2961745960719624
43,1.3428152899850063,1.6868257222553122
45,,0.8289801023371013
46,0.6552599301187756,0.8848954875301593
48,0.91052977330562,0.9207598260124312
49,1.0096041024776239,1.0356800294161626
50,1.4505468411417546,0.9271392410772464
55,0.8074453456450459,-0.1984266855724729
56,0.5733518904149582,0.627226497181556
58,1.4370855233016782,1.4157676519190516
59,1.139548181840364,0.6998048556685899
60,1.1498885202539073,0.9620705356396096
61,0.8962246785419159,1.7259202523361683
62,1.6814128746014716,1.0968033404540365
63,1.2650796651425704,0.6910092882215608
65,0.959793077106306,1.0776033555103812
66,1.2609632452272117,1.8369168311002104
68,1.0518133306993755,0.5395860691641312
69,0.7233001827752257,0.8088542685281225
70,1.3573216796107874,
78,0.8490975524114924,1.712342022768349
88,1.1639806501518777,1.6379780336320178
