,beta_12m,beta_1m
1,0.8786793620091516,1.6937712569293817
2,0.8159885740176192,0.5498295576930988
4,0.8964905756813847,1.1002886630350974
5,0.9277439555364136,1.1458925632121766
6,0.9934466358163436,1.1241452974053538
8,0.9745141114208306,
10,1.0828560083909209,0.7677476300638548
11,1.1506575863602542,1.0859416055262174
12,1.2428707888817336,1.1132665839634055
14,1.2313013633113927,0.4770872045393416
16,1.1036339383825566,0.19488513125425266
17,,0.8921741080651551
18,0.5626434196378206,
19,1.0409880729246672,0.5021947684934989
20,1.2857379052545608,
21,1.1317231927171123,1.1812939006600125
22,1.4100240821278818,1.3492793441757258
23,1.0469305098909958,0.7521552033216392
24,1.0386116382171326,0.3141924516000353
25,1.1026993854841345,1.1922360154916127
26,1.0911807729343492,1.098708815709403
27,0.6850281284190464,0.5635537545798077
28,0.6768591210662778,1.0094401712308678
29,1.3038555146999875,0.8588255217435086
30,1.377025211673353,1.9194770216575423
31,0.9797984123232136,0.7422299645497139
33,0.8673164856192571,0.07576572170180228
34,1.0266557896065849,1.4127903051271755
35,0.6586855167012793,0.3476529476518926
36,0.997682466559278,1.1914169627847646
38,1.216629632091634,1.0962039990300882
39,1.2429593817150135,0.4657316536460861
40,0.7427412306720267,0.5612595519005124
42,0.598902548124481,0.5903271973668719
43,1.1528061851186169,0.6594532183114711
45,,0.9387229069337932
46,0.6377550452352203,0.6157941936299469
48,1.032646034072552,1.2942773126655829
49,0.9135392468685264,1.5511357899522449
50,,1.1010545691552935
55,0.9300234253876528,1.6960823215661538
56,0.4937456779887446,
58,1.5002781640241851,-0.054846055650909054
59,1.0804979387337448,0.5217232703289032
60,1.1167529623036148,2.9379399870684777
61,0.9865135142499848,0.8601027118122724
62,1.9958296743003985,1.7238019838749477
63,1.4006320143659514,0.9473887544280092
65,0.7671027827997963,-1.4946186584344674
66,1.2343789054140109,0.9409142396080546
68,0.8986697131073997,-0.3275588425896122
69,0.7585592451609442,1.3175198852971803
70,1.4148209452141258,0.4673388365891264
78,0.850280688150244,0.5855096882396466
88,1.3361961719699216,0.8598134835461102
89,0.7885752065553638,0.6466975349044479
90,0.8863726282727415,0.8377790928540038
