,beta_12m,beta_1m
1,0.906190458015344,1.6486133575141009
2,1.0852472906038535,1.9277437675617657
4,0.4068877633257668,0.7302691948160001
5,0.9571536844381274,0.7110730843850459
6,,1.3110238344008998
7,,-0.08061526289751775
8,,-0.1970248480781242
9,1.212599466569042,0.7028209327874811
10,1.1688795787550663,0.962265232418958
11,1.2268653374051453,1.2168566153513796
12,1.1659893952187226,0.3617651507636496
14,1.5006041036698408,1.1387686919365032
16,1.328460981062639,0.7252142286308092
17,0.8669355462570285,1.3909744185375157
18,1.000242747520879,0.8673359137273768
19,,1.088592940332018
20,1.3258471886789127,0.9921652355113624
21,1.3998610537329048,0.9300204930116756
22,,0.7453950636174079
23,1.3781122875259841,0.7413984972790482
25,0.8655582905206751,-0.8414526612725501
26,1.0211970861312536,0.8639964839288782
27,0.7216911841288043,0.4571539035052022
28,0.9280156237296908,1.107879304085065
30,0.7646449398867996,0.7057346025006701
31,,1.3162010260828458
32,1.2734467182786782,1.0817772155585121
34,,1.4005565307593273
35,,-0.2293823634865081
36,1.2571148006962378,1.6013235463407065
37,1.1154527415657416,0.7139967779808152
38,,0.11931267979382708
39,1.474150415923983,0.7161620362514338
40,0.7938075203712691,0.8054743818059973
42,0.3125105155986353,-0.25867043087422825
43,0.8230380788355582,0.8050270073718928
45,1.0871520712618463,1.144376503387603
46,,1.17924938995768
48,0.17117537872237218,0.2511673239243309
49,1.2249835260688235,1.178064852260421
50,1.48865750063216,1.2139390338087508
55,1.1954964862097377,0.3537225626902541
56,,-0.10903019817092464
58,1.2201036198623227,1.135633140434092
59,1.2184721145336224,0.9979322397578008
60,1.3746957407212146,1.1242497101870357
61,0.8610803510316132,0.6704477153342654
62,1.3406676149657133,0.9763683359188446
63,1.7552960107784406,1.0240903621325763
65,1.258099237235546,1.2017695764985221
66,1.431598256141935,1.1188341341912382
68,0.9394144051043298,0.5020552806558916
69,1.028188979140137,1.4191781686874614
70,1.413978586329457,1.1548849462179307
78,0.9087157117668708,1.0588266231609884
88,1.264853877935916,0.9246245704642698
89,0.7531176170945111,0.944356868659506
90,1.1102955155476386,1.446210060821144
96,0.35742065062881995,0.2163561107022693
99,1.1512551369088229,1.1132431156933449
100,1.1532927665528685,1.0296995660787571
150,0.22929934323338816,0.08944476337945184
151,1.3661995524467692,1.3493779828974797
153,1.0736844007390725,0.8122770011211148
155,,0.9774954270540324
156,,0.9240457886507908
157,0.6520325576086601,0.7060275127657551
158,1.2335463912613325,0.9174966688708968
159,1.2515404400969097,1.7882806611563862
166,0.6597005878642302,0.6965984619942832
301,0.7051734712415539,0.4287961405521967
333,1.1557713009194304,
338,1.1504907713438135,1.092241379233342
400,1.0082743420022946,0.1985884360665876
401,,0.7171814772887234
402,0.8712927299175166,0.7433154471403906
403,0.4445210447513652,0.3749813883477433
404,1.11491239549599,0.7040924672979385
407,1.2679773165569288,0.6720657615644616
408,0.8896609889911108,0.6006738754462352
409,,0.1912155902159204
410,1.251343751614202,0.8539900267429659
411,0.991280625133688,1.0574414274166701
413,1.1474752405500417,0.8492451161540564
415,,1.0327603646386458
416,1.3482803150907987,1.2750294699548388
417,0.941312198294854,0.6932274939225982
418,1.3058444582496085,
419,0.9309831531963016,0.415716174313228
420,0.6533013767346314,0.7545313613299678
421,0.9638169479770996,-0.0430644563975488
422,0.7686966629620711,-0.1569246234142982
423,0.7624912880237047,1.0764914849533738
425,0.982591840344801,0.8021259291527829
426,,0.8675803496086918
428,1.001512926809026,1.6587058395928782
429,0.5871656248554031,0.4676160550689695
430,0.7736167775080021,0.7007683053089981
488,1.3431496261947735,1.4680477957413758
498,1.0970449839032814,1.737542671427038
501,1.0409635625636988,0.7673979723025459
502,0.9460681138660392,0.04509131225053823
503,,1.6451323030674705
504,,2.418688226459958
505,1.0500991663355748,1.4826285492912938
506,,0.7451580943240572
507,1.2983114527857698,1.2280234155803007
509,,1.5654592762923416
510,1.0978640659047378,0.7252782142442717
513,1.4016360554646194,1.2049096307276972
514,1.11086543137124,1.3204213006815972
516,,0.2657070932380461
517,1.0830914855549856,1.08974155590505
518,0.9490056194885224,0.7872981080242287
519,1.0634867416288292,0.6521937368907659
520,0.9413217609287944,0.6161387174727195
521,1.0735868538093642,0.9170377506748512
523,,0.8815819616924766
524,1.1438739217819218,1.4144229414801586
525,1.3239211053722122,0.3864588492259619
528,1.2785204348597268,1.0768188223516444
529,0.8815308105154478,0.7887916122991234
530,1.2233106331179386,0.996023529062865
531,0.9682541548187232,0.3886508321663593
532,1.5884918290134256,1.3381769761107871
533,0.8365772295674836,0.7725491629535468
534,,0.14930478988710455
536,1.1598857551333572,0.7185440354447052
537,1.4307037967962133,1.504501562292219
538,0.7645809670395631,0.9750669773737268
539,0.5231576405143773,0.4060549655616197
541,0.8926728043732022,0.4146254155885629
543,0.7338309650920959,0.20560430797425736
544,0.7041330583425885,0.2582550098009121
546,0.6925586290028032,0.5615520975866762
547,,0.7400976854443954
548,0.9238316194429292,0.9424027375059564
550,0.7356384428249036,1.025365516300754
551,1.1907093113267608,0.9172801886248086
552,0.9039901855354296,0.9368978851177968
553,1.2550199250913283,1.0345170699486128
554,1.2042419115772025,0.7238591636313361
555,,1.2798109721069335
557,1.237966362751219,1.0044003756487734
558,1.3045994201948976,1.1702080829338857
