code,rev
1,-14.8346
2,-6.666699999999999
4,-13.1274
5,-8.977
6,-12.7101
7,-14.4769
8,11.8699
9,-12.0536
11,-14.130399999999998
12,-6.9385
14,-5.3715
16,-9.3588
17,-11.745999999999999
18,-13.8756
19,-18.8157
20,11.9318
21,3.9242
22,-11.8021
23,-5.4245
24,-12.5637
25,-10.4478
26,-12.6667
27,-12.2074
28,0.0
29,-19.3333
30,-0.4391
31,-9.6401
32,-18.1818
33,-15.1773
35,-8.4772
36,-6.4453
37,-13.6876
39,-3.6116
40,-13.028800000000002
42,-16.7668
43,-5.555599999999999
45,-1.5715
46,-7.269
48,-12.0879
49,25.9133
50,-2.6087
55,-7.029299999999999
56,-8.0437
58,-17.8779
59,-13.0435
60,-5.944400000000001
61,6.8091
62,-14.4008
63,-5.9060000000000015
65,-11.6033
66,-0.2362
68,-21.9822
69,-2.5157
70,-9.0431
78,-5.6529
88,-10.5474
89,-13.481500000000002
90,-7.5638999999999985
96,-23.7805
99,-17.1069
100,-9.5768
150,-25.5937
151,-23.0864
153,-13.5831
155,-11.325999999999999
157,-9.7367
158,-2.3952
159,5.3134
301,-19.4805
338,-8.6406
400,0.2387
401,-4.7714
402,-7.2235
404,-14.3089
407,-15.7199
408,-4.3202
409,-5.9796000000000005
410,-11.6505
411,-7.0883
413,-4.4944
415,5.0549
416,-22.2689
417,-5.659199999999999
418,-3.2570999999999994
419,-9.3656
420,-10.7717
421,-16.911800000000003
422,-3.0822000000000003
423,12.4621
425,-10.8571
426,-7.9734
428,-9.566
429,-9.0056
430,-10.6322
488,-10.2564
501,-3.2278
502,-16.7021
503,-15.8043
504,-11.8227
505,-21.9178
506,-15.8273
507,-8.484300000000001
509,-14.4052
510,-12.3333
511,-9.9323
513,1.6496
514,-10.8891
516,-6.504899999999999
517,-15.243900000000002
518,1.3953
519,-5.4487
520,-13.4357
521,-12.0833
522,0.4844
523,0.6876
524,-8.0321
525,3.6129
526,-0.8436000000000001
527,-5.5202
528,-6.5977
529,-19.4622
530,-1.537
531,-8.3072
532,-17.2897
533,-1.5886
534,-10.4286
536,-16.956500000000002
537,2.6627
538,1.9909
539,-12.9526
540,-16.4516
541,9.2791
543,-10.0728
544,-6.9495000000000005
545,-10.6621
546,9.4541
547,-17.4831
548,-20.0466
550,-18.1258
551,-18.2143
552,-16.9935
553,-5.5319
554,-16.7694
555,-7.7947000000000015
557,-19.1529
558,5.8496000000000015
559,10.5991
560,-9.1887
561,-8.2828
562,-15.7303
563,-12.855899999999998
564,-15.853699999999998
565,-12.3377
566,-5.6111
567,-16.8274
568,-5.5429
570,-21.9493
571,-16.158900000000006
572,-13.0225
573,-0.6593000000000001
576,-18.5853
578,7.1234
581,-9.7052
582,-12.7273
584,-16.397000000000002
585,-12.5969
586,-12.2093
589,-14.3151
591,5.6868
592,-13.939400000000004
593,-8.3431
594,-10.4854
595,-3.7304
596,6.7059000000000015
597,-9.311699999999998
598,8.427
599,-14.520999999999995
600,-14.869300000000004
601,-17.9577
602,-3.1489
603,98.1865
605,-7.9184
606,-9.2697
607,-12.4021
608,-16.0479
609,-17.1579
610,-7.8023
611,-16.4723
612,-16.8936
613,-5.841900000000001
615,-12.7869
616,-8.7591
617,-16.666700000000002
619,-14.2373
623,-17.2451
625,-11.5789
626,-15.4661
627,-12.3333
628,-8.620700000000001
629,-2.7251
630,-12.812000000000001
631,-13.5897
632,9.5624
633,-21.254
635,-15.1059
636,-5.6351
637,-11.0714
638,-10.1147
639,-6.8085
650,0.5598
651,-4.4151
652,-10.989
655,-21.980100000000004
656,-18.1646
659,-11.1255
661,5.9079999999999995
662,-22.5647
663,-11.8778
665,22.3539
666,-8.9264
667,-7.6821
668,-7.9661
669,-4.6995000000000005
671,-1.9164
673,-4.215
676,-16.548
677,-15.047
678,-11.2559
679,-12.2074
680,-8.9431
682,-14.1463
683,-21.9762
685,-9.9491
686,-21.9068
687,-9.9518
690,-4.9206
692,-13.6558
695,0.122
697,-22.2904
698,15.1819
700,-9.633
701,-7.7049
702,-12.2542
703,-13.262199999999998
705,-3.4742
707,-19.7816
708,-16.7618
709,-12.951199999999998
710,-3.1718
711,-20.2259
712,-4.1806
713,-4.8589
715,2.6471
716,-9.3264
717,-13.0901
718,-15.851300000000002
720,-18.0791
721,-4.2697
723,-1.4749
725,-10.280399999999998
726,-12.3045
727,-18.6598
728,-13.781600000000005
729,-4.266100000000002
731,-11.023599999999998
733,-4.6745
735,1.5365
736,-10.8943
737,-6.9288
738,-3.9007
739,-10.0228
748,-16.631400000000006
751,-2.2556
752,-10.9836
753,0.6536
755,-17.6285
756,-10.1482
758,-9.8965
759,8.953800000000003
760,-13.4021
761,-13.333299999999998
762,9.4545
766,-5.9756
767,-13.5354
768,-7.9167
776,-25.7386
777,-5.595700000000001
778,-16.5937
779,-4.7273000000000005
780,-13.7272
782,-17.3709
783,-17.3157
785,-7.5808
786,-6.859800000000001
788,-12.1188
789,-16.233
790,1.0
791,0.9174
792,-1.9394
793,-11.718800000000002
795,-6.7066
796,-18.232
797,-10.306400000000002
798,-18.1503
799,-0.8884999999999998
800,-10.644
801,-15.608699999999995
802,-13.3961
803,-10.3376
806,-15.2209
807,-14.790699999999998
809,-16.9263
810,2.5778
811,3.0172000000000003
812,-18.2891
815,1.6484
816,-18.3639
819,-13.4615
820,-18.2711
821,-16.4756
822,-17.862000000000005
823,-3.1099
825,-18.4173
826,1.8868
828,-13.7484
829,7.3408
830,-13.1488
831,-16.302500000000002
833,-13.6179
835,-17.8571
836,-12.0099
837,-8.5957
838,-17.0045
839,-11.944400000000002
848,5.551
850,-2.2005
851,-10.5788
852,-17.753
856,-19.8973
858,-4.8688
859,-8.987200000000003
860,-4.0899
861,-1.8113
862,-9.2956
868,-13.2296
869,1.1851
876,-13.2911
877,-1.4685
878,-13.913800000000002
880,-8.090399999999999
881,-4.9197000000000015
882,-19.9762
883,-19.1489
885,-10.7931
886,-2.1807
887,3.0624
888,-7.1392
889,-15.0
890,-13.522
892,-18.2825
893,-3.2068
897,-9.8077
898,-13.9853
899,-8.9831
900,-12.8254
901,-11.25
902,-10.9739
903,-7.846399999999999
905,-10.4666
906,-10.4478
908,2.805
909,7.6642
910,-11.0345
911,-15.7986
912,-11.6648
913,-13.4831
915,-4.1893
916,-13.592200000000002
917,-11.7966
918,-13.895
919,-7.059800000000001
920,1.2586
921,-7.3012
923,-8.3417
925,-6.3762
926,-5.0218
927,4.5932
928,-18.3516
929,-13.891800000000002
930,-13.3663
931,-13.602899999999998
932,-18.3971
933,-9.7231
935,-14.2857
936,-8.631799999999998
937,-17.3747
938,-22.949
939,-0.9365
948,-11.7433
949,-5.057799999999999
950,-3.7422
951,-23.215
952,-13.5215
953,-19.5266
955,-13.333299999999998
957,-3.5637000000000003
958,-13.636400000000002
959,-11.7914
960,-23.995
961,-13.8594
962,14.8043
963,10.2082
965,-8.4444
966,-10.960999999999999
967,-8.7523
968,-11.269900000000002
969,12.6857
970,4.5587
971,-13.220299999999998
972,-6.1832
973,5.241900000000001
975,-14.1553
976,4.8421
977,-9.8361
978,-5.0187
979,-10.6007
980,-17.8434
982,-8.8971
983,-11.1078
985,-2.4880000000000004
987,-8.612599999999999
988,-10.935999999999998
989,-4.442900000000002
990,-20.0639
993,-9.209
995,-0.1196
996,-12.0309
997,-6.8012000000000015
998,-5.1914
999,7.712100000000001
1696,8.6913
1896,-30.780100000000004
2001,-16.6553
2002,-8.353200000000001
2003,-15.3183
2004,1.8949
2005,-10.2639
2006,-10.6097
2007,7.098
2008,-6.2189000000000005
2009,-5.7971
2010,-6.3471
2011,-8.5821
2012,-2.8788
