code,rev
1,5.7471000000000005
2,-26.8932
5,-5.0398
6,0.8140999999999999
7,-26.2295
8,-7.8972
9,0.4307
10,-1.788
11,-0.2987
12,-5.4101
14,2.2678
16,5.1975
17,11.8756
18,-11.503699999999998
19,0.885
20,-13.3517
21,3.9964
22,3.934
23,-8.2558
25,-12.757
26,-1.3998
27,2.9781000000000004
28,10.6452
29,-0.4808
30,7.1129999999999995
31,3.7116
32,-2.3545
34,26.6667
35,-5.2334000000000005
36,-1.3398
38,-23.7996
39,-1.3409
40,21.4651
42,-0.1168
43,3.7576
45,-7.8792
46,-1.7804
48,-5.6535
49,-11.540299999999998
50,-7.5228
55,-13.9214
56,-3.9246
58,3.3457
59,-2.1505
60,1.3422999999999998
61,-0.8223999999999999
62,-4.8889000000000005
63,3.2775
65,-7.0213
66,-2.8235
68,-2.8926
69,5.7813
70,-4.5767000000000015
78,-8.7483
88,7.5311
89,8.5647
90,-0.11359999999999998
96,-1.3311000000000002
99,-0.2308
100,6.382999999999999
150,3.2713
151,5.407000000000001
153,2.0369
156,0.8086
157,1.2107
158,-2.0158
166,0.9869
301,0.6928
333,18.887
338,13.4443
400,3.2383
401,-6.1468
402,11.1111
403,2.1629
404,-1.7672
408,-6.1425
410,-9.2968
411,8.2207
413,40.0466
416,9.6053
417,-1.7305
418,12.8755
419,25.0
420,-0.8981999999999999
421,-5.4945
422,1.473
423,10.391800000000002
425,0.9804
426,34.9734
428,-1.2195
429,16.181800000000006
430,9.2511
488,17.2544
498,14.4097
501,13.766700000000002
502,-4.3116
503,10.8431
506,2.2576
507,4.562
509,-14.658
510,4.1193
513,8.4147
514,1.3123
516,12.4786
517,-6.404999999999999
518,-3.1157
519,12.903199999999998
520,-8.748600000000001
521,9.1211
523,9.6596
525,7.0336
526,-5.364400000000002
528,1.2346
529,13.6919
530,-2.9081
531,-6.5466
532,-10.903099999999998
533,1.1561
534,10.0739
536,-15.5473
537,0.6242
538,7.6672
539,2.5896
540,3.6918
541,11.2731
543,8.963600000000003
544,5.8782000000000005
545,-8.405800000000001
546,0.9488
548,-0.3866
550,6.568099999999999
551,4.793
552,4.5455000000000005
554,-2.093
555,-1.5437
557,-3.2381
558,-6.0459000000000005
559,-5.5769
560,2.7283
561,2.6079000000000003
563,11.1111
564,-1.9792
566,13.1072
567,-5.9084
568,9.3939
570,-1.9495
571,31.1734
572,-1.5414
573,7.1618
576,-7.6712000000000025
581,5.3571
584,3.8906000000000014
585,-8.233500000000001
586,-12.7273
587,2.8516000000000004
589,0.9524
590,-0.4964
591,-4.1087
592,18.8791
593,-10.5096
595,-7.7213
596,-5.067799999999999
597,4.6171
598,4.7348
599,0.2907
600,7.789199999999999
601,-6.3158
603,11.5427
605,2.2565
606,-4.8853
607,37.2479
608,13.9623
609,4.4427
610,0.856
611,1.7654
612,5.8824000000000005
613,-8.7113
615,-8.3379
616,0.1873
619,-10.0437
620,-0.5464
622,-3.7859
623,3.0862
625,19.5318
626,-10.4899
627,14.877100000000002
628,-7.5586
630,1.1811
631,-0.2053
632,-0.35090000000000005
635,2.0764
636,5.4114999999999975
637,-2.1277
638,-34.0727
650,0.9804
652,0.0
655,-1.0363
656,-1.8325
657,24.8845
659,17.3494
661,-0.7405
662,5.7674
663,-4.1925
665,8.7719
666,-3.8974
667,5.8824000000000005
668,4.0265
669,-1.7963999999999998
670,-3.7246
671,0.1684
672,12.8378
673,-8.0607
676,-14.371
677,11.8447
678,1.8987
679,-7.2299000000000015
680,-0.8114
681,-6.215599999999999
682,-0.7533
683,0.3817
685,0.289
686,-6.2742
687,-3.8889
688,16.939899999999998
690,6.784700000000001
691,-8.0645
692,-0.7168000000000001
695,-4.0906
697,-8.709
698,5.9633
700,8.4896
701,-8.3948
702,-2.3556
703,4.9645
705,1.171
707,-4.6218
708,9.2857
709,4.3321
711,4.1892
712,-7.7071
713,-3.4221000000000004
715,-10.0485
716,2.0709999999999997
717,-3.7037
718,-29.188800000000004
719,1.5152
721,26.7038
722,0.2169
723,13.257
725,0.8657999999999999
726,2.0702000000000003
727,0.9091
728,8.134
729,-1.3175
731,-0.8298999999999999
732,0.7716
733,-11.2444
735,-0.7751999999999999
736,16.1755
737,1.2962999999999998
738,0.0758
739,23.3494
748,3.0581
750,-7.0364999999999975
751,-0.1808
752,-2.6549
753,0.0
756,4.1938
758,14.7097
759,6.657
760,-2.2456
761,-17.0213
762,-14.2799
766,2.1457
767,-0.8287000000000001
768,7.770399999999999
776,-3.043
777,-3.6503
778,2.1552
779,-9.9332
780,-5.5351
782,-7.4115
783,-10.862100000000002
785,48.7892
786,5.9471000000000025
788,2.6094
789,1.4563
790,3.7135
791,-6.8244
792,-5.1611
793,-2.0243
795,-9.988999999999999
796,15.7323
797,-2.9451
798,-10.944
799,-7.562999999999999
800,-2.454
801,-7.7109999999999985
806,-12.6543
807,-1.6794
809,-1.1442
810,4.8146
811,13.1907
812,-1.1304999999999998
813,15.4225
815,4.0423
816,-2.8765
819,21.4823
820,2.0
821,-9.5346
822,-2.7613
823,-9.3
825,8.5443
826,-0.1637
828,6.2775
829,-2.6217
830,1.1062
831,-10.3945
833,-20.4235
835,12.6324
836,2.4272
837,0.35500000000000004
838,-10.0264
839,12.1539
848,2.5941
850,-4.7863000000000016
851,9.1544
852,-3.3087
856,3.2365
858,13.6489
859,-2.4254
860,-2.8175
861,-3.2389
862,4.3115
863,4.6739
868,-8.935599999999997
869,4.455
875,5.5258
876,0.9615
877,1.2944999999999998
878,3.5363
880,-5.2747
881,7.748099999999999
882,-3.6765
883,1.2959
885,19.2037
886,-9.4868
887,9.498
888,2.99
889,1.4747
890,4.0604000000000005
892,18.3039
893,-7.8696
895,17.5766
897,1.0336
898,7.0496
899,11.1931
900,4.4510000000000005
901,-5.604
902,15.9073
903,-3.3624
905,-0.5758
906,1.3479
908,1.5728
909,-10.9056
910,7.3138999999999985
911,-9.2105
912,5.2101
913,20.8882
915,26.9437
917,6.1101
918,8.1081
919,6.646299999999999
920,-7.5154
921,39.9748
922,-8.866
925,-7.305700000000001
926,1.8755
927,-6.427199999999999
928,3.1797000000000004
929,-3.3175000000000003
930,12.204
931,-1.1278
933,3.913
935,4.160500000000001
936,18.004900000000006
937,19.9248
938,9.5105
939,-2.905
948,12.2734
949,3.99
951,12.8661
952,9.0747
953,-22.3538
957,-20.3084
958,19.278
959,9.7297
960,7.699
961,40.82
962,5.0429
963,4.7478
965,12.5
966,6.0
967,-10.928299999999998
968,1.0333
969,-2.2096
970,-0.13779999999999998
971,5.617999999999999
972,-3.7367
973,-5.076600000000001
976,-5.3571
977,3.1983
978,5.3283000000000005
979,-1.8248
980,-13.5548
981,19.7018
982,-12.603599999999998
983,11.4356
985,-6.3486
987,9.4574
988,-7.431400000000001
989,10.4084
990,-13.2994
993,0.9059999999999999
995,0.3257
996,-3.7718
997,-4.6906
998,-0.3161
999,11.436800000000002
1696,-3.1136
1896,4.0603
1979,7.578899999999999
2001,8.1874
2002,-8.421000000000001
2003,-8.189400000000001
2004,-2.1906000000000003
2005,-4.5685
2006,-8.499600000000001
2007,22.3248
2008,-0.2627
2009,-8.5119
2010,-7.2764
2011,-4.6986
2012,-5.0517
2013,15.727
2014,1.0031
2015,-5.636699999999999
2016,12.3487
2017,5.625
2018,-4.6316000000000015
2019,0.2601
2020,-0.3234
2021,-9.8062
2022,-6.1473
2023,-5.135599999999998
2024,-2.7624
2025,-6.1563
2026,-9.467
2027,-5.6935
2028,-2.0091
2029,-1.5764
2030,-5.575499999999999
2031,-14.3805
2032,21.3353
2033,1.2618
2034,-8.3658
2035,-0.2042
2036,-16.8701
2037,-3.5229000000000004
2038,6.626900000000001
2039,3.2761
2040,-3.8594
2041,-0.0644
2042,1.6441
2043,18.345
2044,-9.1223
2045,-13.5154
2047,-0.1
2048,-7.1272
2049,-10.9215
2050,-11.399000000000001
2051,1.1693
2053,1.0567
2054,-8.7719
2055,2.2861
2056,-14.1765
2058,1.1399
2060,2.4745
2061,0.7224999999999999
2062,9.1216
2063,-11.520999999999999
2064,-4.5833
2065,-20.0797
2066,-3.5988
2067,-8.8916
2068,0.3846
2069,6.745599999999999
2070,-24.6733
2073,-11.883
2074,-6.815299999999999
2075,6.075399999999999
2076,4.9102
2077,-17.7928
2078,22.541
2079,-6.8935
2080,-9.9104
2081,-1.4969999999999999
2082,7.9975
2083,-1.1111
2084,-0.9242
2085,-9.3659
2086,-2.0571
2087,-1.9011
2088,-1.3496
2089,-1.1552
2090,-10.2826
2091,-12.8076
2092,5.0827
2093,-8.2192
2094,-4.0809
2095,-12.4844
2096,3.3557
2097,-11.953399999999998
2098,6.8847000000000005
2099,6.7227
2100,-1.2236
2102,29.632600000000004
2103,1.5338999999999998
2104,-12.6521
2105,-1.7381999999999995
2106,-7.1549000000000005
2107,-2.25
2108,-7.722000000000001
2109,-1.0671
2110,15.231800000000002
2111,-3.4614
2112,-23.9173
2113,32.3482
2114,-1.5407
2115,9.2254
2116,-4.3069000000000015
2117,2.8289999999999997
2118,10.2041
2119,-9.5797
2120,97.50979999999998
2121,-12.0
2122,2.09
2123,-13.5642
2124,6.103300000000001
2125,0.8
2126,-3.4014
2128,5.992000000000001
2130,-6.7786
2131,15.8572
2132,8.4091
2133,2.795
2134,2.8966000000000003
2135,-2.8314
2136,-4.8346
2137,-13.5613
2138,-8.1081
2139,-2.7663
2140,-6.815200000000001
2141,-13.6755
2142,7.3748
2143,-1.1097
2144,5.1373
2145,-1.6
2146,3.8689999999999993
2147,-4.1317
2148,-6.416000000000001
2149,-12.9235
2150,-4.271700000000001
2151,-3.5354000000000005
2152,-7.8466999999999985
2153,-7.3541
2154,-2.2774
2155,5.163200000000002
2156,-11.7021
2157,4.5183
2158,-8.5158
2159,-0.1575
2160,-0.6849
2161,-3.6266
2162,-0.6231
2163,-2.3743
2164,-20.9833
2165,-7.4946
2166,-0.35000000000000003
2167,-8.949800000000002
