code,rev
1,25.156300000000005
2,15.657100000000002
4,12.9834
5,17.8571
6,28.2383
7,14.568499999999998
8,9.2668
9,14.2857
10,22.8647
11,26.361999999999995
12,20.9677
14,30.4615
16,12.0567
18,2.9231
19,19.6023
20,17.803
21,13.7681
22,12.375699999999998
23,11.4923
24,25.3249
25,5.1282000000000005
26,28.5256
27,8.1374
28,25.2661
29,24.924000000000003
30,-1.1614
31,17.5202
32,19.4763
33,15.7182
34,17.9191
36,22.4561
37,8.5052
39,23.1838
40,24.2054
42,9.8361
43,42.0849
45,11.1301
46,42.8571
48,2.7397
49,7.5273
50,23.400900000000004
55,13.695099999999998
56,22.069000000000006
58,8.5333
59,24.0437
60,21.8035
61,28.37840000000001
62,10.8456
63,25.8065
65,6.1877999999999975
66,11.7057
68,11.8644
69,31.1189
70,14.9306
78,7.3801
88,10.9589
89,11.5942
90,19.7161
96,10.3448
99,14.115899999999998
100,3.7915
150,19.802
151,2.3881
153,14.6903
155,10.8635
156,25.2101
157,15.849100000000002
158,10.4235
159,12.807000000000002
301,7.2917
338,14.680599999999998
400,43.9836
401,17.9487
402,17.5958
404,20.4545
407,15.4255
408,11.0
409,73.8407
410,19.0385
411,16.436500000000002
413,11.6496
415,18.8065
416,14.3154
417,28.492600000000003
418,31.0153
419,11.194
420,6.7797
421,12.1065
422,23.0343
423,7.76
425,14.6123
426,24.3539
428,13.513499999999995
429,8.9655
430,26.3229
488,14.876
501,16.3968
502,18.7023
503,17.1817
504,-8.391599999999999
505,9.8485
506,9.9719
507,27.9373
509,4.6784
510,20.0
511,0.7958
513,8.411200000000001
514,21.7604
516,7.3892
517,10.610499999999998
518,10.571400000000002
519,27.8495
520,22.6563
521,13.8138
522,5.6958
523,18.7364
524,9.4502
525,24.2072
526,13.9423
528,22.8221
529,8.974400000000003
530,16.2393
531,34.978500000000004
532,15.2395
533,16.1473
534,18.1619
536,10.9909
537,29.174
538,7.612000000000001
539,11.4878
540,19.244
541,15.3043
543,21.8153
544,8.7678
546,17.241400000000002
547,13.5762
548,15.508
550,25.9104
551,28.5451
552,18.75
553,14.6018
554,12.3007
555,12.8378
558,18.8791
559,11.4144
560,13.4128
561,17.4888
562,29.37540000000001
563,24.7601
564,9.2379
565,20.1192
566,22.81130000000001
567,3.75
568,5.7032000000000025
570,12.3232
571,9.3541
572,11.7424
573,11.5681
576,9.8276
581,13.725499999999998
582,17.4843
584,22.4638
585,4.9261
586,10.6132
587,28.5848
589,9.8851
590,24.06290000000001
591,6.0708
592,15.1807
593,15.9393
594,10.2941
595,18.1818
596,24.5187
597,10.2113
598,7.4128
599,11.428599999999998
600,5.4726
601,10.8696
602,20.1586
603,13.2785
605,12.0219
606,13.4066
607,12.2807
608,15.2174
609,22.9602
610,15.1515
611,13.4715
612,19.4046
613,9.3333
615,11.6705
616,15.493
617,12.108800000000002
619,28.6874
620,18.6937
623,31.3756
625,29.882800000000003
626,10.4575
627,8.0769
628,16.582900000000002
629,30.3797
630,14.8936
631,37.6426
632,16.5049
633,4.6667
635,24.3126
636,16.8242
637,13.913
638,17.377599999999994
639,24.5805
650,22.9075
651,8.6493
652,10.559000000000001
655,36.5639
