Stkcd,Mom,R_M12,R_M3,R_M6,R_M9,R_t12,R_t6
1,-8.084315586,-11.18913549023295,-3.500852860558834,-2.7581328740840294,-5.4862294081612575,-11.155126686999939,1.16054264661134
2,9.467481933,5.443785699767911,7.608681558416297,19.277054389869512,23.066240937621004,17.98470883247947,31.01984654599803
4,-23.47184374,-30.969842906473602,4.1819781238443525,4.697110518419634,-18.557736877589672,-23.53413765984655,-13.055561372077362
5,,,-22.020755827250994,,,,
6,5.335650785,-1.7211004677297637,3.6298582470826855,39.26853299274485,12.84597920936086,13.787783404347053,31.330584707232326
7,96.98891991,86.19845784221417,28.596205608379478,125.53215252347653,94.7507678365317,100.51108179597077,95.5169681079012
8,-18.09367943,-7.673639234845031,21.85504697699161,63.98863377059312,9.692966585285648,-10.18595180564944,1.909682077929676
9,-33.49965605,-41.87032034196725,-1.380649197504347,-8.256787716115044,-37.81086365665136,-29.399776841885746,-32.586855119213794
10,,,35.02929975064832,,,,
11,-36.31883478,-38.5374228932012,11.641727942229018,21.23167721325323,-8.780613459282227,-26.81779597041131,12.318804281485352
12,-39.06166744,-44.37676974744566,2.4310574253213035,1.3004661376054385,-35.09313472668533,-35.692813604819705,-3.5046469098681587
14,-6.997054202999999,22.40015393120882,84.20259853264511,98.4878617369536,58.14499934776463,-6.64606108542417,23.99343703299166
16,-12.3349786,-15.07451051613554,17.35023877084687,17.721514043612014,2.4793446227427074,-15.231430904446375,3.783772856777312
17,-37.25492944,-37.64708612674957,9.655151326411238,16.48345723241804,-32.196174996281115,-36.25502399121049,-13.746681236711874
18,-15.58629562,-18.34493547469345,-6.7716801968500056,28.976023924158877,-26.45966951824977,-15.586295615404875,-12.944517185144374
19,11.16537332,-15.279201508842812,-24.97831430686366,12.046613659022265,-3.674816434785212,8.095096878594287,17.131027481306287
20,-5.115764633,-12.545769567866428,22.525469351191486,36.24271897671064,7.164009707014474,-5.804149760822543,14.55874423284811
21,-27.29471321,-33.825392887799985,-2.6774445077839206,6.808126805416647,-17.85221039555761,-29.39284237317164,-5.642705849126539
22,-22.81198971,-19.04490605134184,16.719973933811062,17.72301987638489,-2.4909109945085883,-24.113842687365732,-0.570784783468703
23,-20.48040224,-25.743565853585967,8.710201655313286,13.859787917620435,-9.357401913038533,-14.619012685252605,2.963028730920514
24,38.84321694,35.15179233168521,20.647529660602306,37.40418513779027,47.74646640099676,55.40929536973538,55.40228380896975
25,-28.34940904,-36.01931820433626,7.679826497870822,16.84417610088722,-19.53594844542937,-34.69019974212032,-2.6384021997164164
26,-27.09678641,-29.36487829261447,-4.463839732787566,-16.424113237671644,-30.53024326448265,-16.296321128538693,-28.254000704910933
27,-13.52784305,-12.940178268012927,9.223090083965957,7.611591374159278,6.047020770535427,-18.463846709877874,-4.5387974559913165
28,-2.439993495,15.882361086210905,62.43658218668129,40.14438443004706,20.26061633127143,-13.684076925068677,-6.0074602240420045
29,-20.11708125,-26.95306201957921,5.649697375588848,14.723908421591547,-11.583898895100546,-16.530497961160584,7.349109192744986
30,,,-14.785920501890981,12.307841600591464,-48.165563317011134,,-16.278934638398837
31,-15.41806419,-19.82089227644356,11.441466969871495,20.239520163486574,0.8632255249076737,-16.72832295741441,11.833055872445652
32,-21.73369839,-28.32708643927569,1.2069543326689525,2.0871094768158738,-17.556026249534675,-22.72869788532677,-4.328248501525311
33,-20.09571337,-26.79424952636683,2.455430373540013,26.795554656118426,-13.232498612670186,-20.476217582498286,10.352384141269534
34,-28.0282161,-34.9295904546204,0.6536607349253654,18.15862439720719,-26.19804862613925,-28.730876622326846,-10.350863518122543
36,-8.163221627,0.2551803358814331,50.00011298329055,59.10936938120994,27.59740502287884,-4.761862866623757,23.28761835419746
37,-16.56826924,-13.215231407806149,7.843078437894557,22.904933010089024,-9.465176988035383,-23.921024236045184,-6.416037261838103
39,-31.30723222,-37.18190641080924,0.9890348587903828,6.961908922820848,-12.343136188545936,-26.2006118602929,5.104740863328439
40,-17.5861923,-21.551697488042997,20.05277921213744,31.8841452720068,7.058946699020674,-12.29357757279531,18.905538211884924
42,13.67364041,4.957714034041393,16.470546637093996,39.00220986896024,8.719041252364935,20.418693213851352,39.959226139652536
43,32.09875989,13.827123618025189,-20.619283123053624,49.05934218169779,32.82515316468964,39.18031020833703,68.96351336098492
45,-21.63183829,-24.85762856483902,-2.1012978267999967,-14.930139228109796,-7.906985428887259,-25.585512050776984,3.2500281312247026
46,6.950031382000001,2.3696823884270524,1.590866603754626,3.4721928389151335,27.35038364753295,3.75928414617912,25.87598144273768
48,-17.09998774,-27.39998266123505,4.610984019832864,-10.03718146289243,-11.246921841397082,-13.375124386722385,-18.64573381461237
49,44.25207929,45.40537466575738,36.398695599684594,69.62989794236476,36.82175255888056,71.90332761503026,52.92581379546222
50,-34.22500779,-39.76003915569413,-3.687289357450352,4.983953918857598,-31.55129589614294,-33.17701483493657,-1.3831805328074376
55,-22.94023609,-35.056573951916604,-19.277132843729838,3.076853315498252,-20.553407697288122,-24.04457957016789,-1.851900462127088
56,-40.49560847,-24.39139945554875,17.296221267543686,26.60946286829777,20.08137448076088,-35.89520495613321,-13.208718429665966
59,-34.72313676,-41.124316525692365,-5.826610195450223,5.2015250419091625,-10.965264486218127,-28.74116501589557,-17.844324806783884
60,-29.32330006,-35.187981942975064,-0.6912442405026753,4.738761629137599,-16.5536833464344,-25.39678531658379,0.4274382949772448
61,-22.44404005,-34.043309418843336,-1.6197166306595179,-5.590206887932125,-22.369555454935764,-24.138482661516914,-8.851765283154055
62,-12.3622732,-14.93268772612394,28.7036962198258,19.827525340894766,0.5788711381014,-6.2826688154167805,5.139527573800895
63,-34.51108964,-40.129317769021775,-15.03345016988732,-17.396418806780428,-26.13751392975321,-28.74079625706544,-12.089776328119626
65,-37.47623737,-41.757114351374014,1.9733734836077543,-1.5429538876587712,-25.725366375168658,-29.19834129481173,-16.31745078938596
66,-34.50701322,-44.50700638330037,-14.902748887779872,-20.72426133474251,-29.64279995914605,-36.79808888107304,-21.452637216954784
69,2.375714532,5.688797405590496,19.258034339774465,17.08663622439417,30.829267624476515,10.026046927449306,20.32569117210872
70,-14.48648796,-26.05407176334063,-0.8695678021205522,-2.7027012127041505,-33.592274388509644,-18.031108550525012,-20.582343439849847
78,-23.64019445,-28.138092440352946,7.680266231129672,6.677112462979329,-10.430215210087024,-28.149622770990323,-10.429385063323153
88,,,11.928951813588727,,,,
89,-20.61486795,-25.051306058779165,-3.6124777461565953,-0.12856457973671187,-9.898616419864027,-21.466908576656746,-5.387890007491447
90,-25.76769274,-30.40246107801654,13.145123149179726,16.613832364415295,-9.535157878018651,-20.24339866823112,8.812246530034319
96,-32.37953367,-36.44582279399841,-4.090950557208006,0.9568888909544879,-16.435715319055873,-25.538979677594572,-8.367379398545605
99,-15.65134427,-18.160716779933146,-3.2977039148717524,20.31097130235737,-3.0828146869996025,-12.37566422683004,-3.5407950083072404
100,-25.38674051,-30.520655059662825,1.8348789360972395,12.903912386183247,-2.0078966634244577,-17.677623930895372,11.546800067535525
150,-14.31189141,-26.422020418316908,14.24489712371544,21.515113056542727,-11.868170849953675,-14.15439666350573,14.180947916339724
151,-25.91198369,-35.266558892061724,-4.022212299976924,-19.534868855765808,-20.184478112454666,-23.255706039710844,-12.966974600464175
153,-21.26498288,-26.717540285540327,10.163889649881286,10.891092342428284,-19.520913285043267,-18.23329104573425,-5.2493001825231085
155,-52.84651045,-52.97028835590963,-10.588324683555994,-11.421956554447696,-35.702185616597774,-46.5637794976323,-31.10304530822145
157,-6.7940905670000005,-13.83822037811696,15.819919671124484,30.42909661908977,5.467817100842809,0.24519253724060164,32.80283326106313
158,-34.49232174,-41.10610795258921,-3.6082824601800345,-6.26570293767008,-26.953125254258303,-35.99939138616157,-17.131436351546725
159,-33.00436855,-42.720209014279106,-10.358703237914357,-2.2998703475211384,-29.04065148998384,-30.24676136405364,-9.826059254336927
301,-18.99316758,-25.72297219364952,2.4054624212016096,4.56136696024898,-5.396948003114189,-24.71346504798653,-4.4118236384905964
338,-25.9294841,-34.03857603583642,-1.5583173468208589,-5.746129328373972,-20.31673559528864,-28.525433466560607,-2.79898256630472
400,-35.69176386,-48.680098316627905,-3.2468074576453967,-18.547279770802305,-33.21565151114331,-32.331401293265884,-11.790938761602463
401,-24.64974787,-43.73739839209837,-15.858810869798624,-15.65686881987962,-11.904655107727013,-20.815700994780236,23.96315893988605
402,-2.018891294,-8.24657056314222,5.238027823417446,9.586699650969743,8.688412393041656,3.3783980793079094,17.999963285593612
404,-34.32428512,-39.864819781629706,-1.548623482919853,-0.2241304108941966,-29.810649597624273,-33.69708204611895,-19.269023514463925
407,26.88764276,13.996238918646894,41.97242538554933,62.04189468221586,12.137663690260458,29.02620709122943,41.47847896474306
408,-24.89348004,-29.66755087792105,18.70495902758096,20.437812052985123,3.643066529015672,-22.922159214098805,-6.376319528341013
409,-18.95905264,-28.50057065526793,-9.561089629507393,20.20830065205108,-9.843735643135377,-15.721628870081314,9.364574887744046
410,-22.16824308,-30.43841207578898,6.479700141540934,10.813207845834928,-23.45432903945328,-20.127727909678658,1.915844962973634
411,-35.57286497,-40.240482050755475,-10.10640535222631,-13.422152877317615,-32.12852930236668,-29.379871044860355,-19.522958725168337
413,4.791368993,-7.959749577069076,-4.719982986207993,9.769725174638166,-6.880271192711063,4.468401994181436,-5.505095910377011
415,,,7.372926927568612,15.086904513947562,,,-26.283884817934624
416,-5.138814336,-14.444412066302435,4.230062681939528,22.70911879475484,-13.483132604348047,-3.802694536171125,11.967242620616947
417,-26.70328022,-31.043911967058225,-12.54353087121256,-11.181901863489196,-30.083543221584762,-24.462013124414767,-22.71150646480217
418,-30.19919836,-46.06882941754189,-5.443845143683811,1.0658873516329104,-26.22366469803545,-30.720540547292515,19.382414937379803
419,-10.49803435,-19.111793028651867,7.130090395285783,10.477942649166216,-14.630783134953909,-12.500014320396247,0.6051330172651692
420,-52.01153347,-54.310372969281254,-14.516169306524866,-13.351579372762512,-36.400062344541006,-52.48935462981268,-41.300613101218225
421,-1.973712282,-15.460561050991796,17.084271073276348,19.813482785085245,-1.1538912213566954,1.1884197076877934,16.406280616637293
422,-1.904169858,-15.966893779534185,-3.8373982272600577,-0.3504910098348413,-8.680456223490571,15.977228539617341,6.934748522894727
423,-4.346329145,-2.4195772532677244,-0.7688155507917349,-6.845127491513736,-3.5669761254600085,-8.429880007752299,-19.94278422053086
425,-38.4832636,-42.15409029125885,6.537924963144159,0.8439176674506887,-21.20877713989968,-31.70621081397736,10.347393697111462
426,-6.449556082000001,-12.777495209803591,20.923544645666546,52.910663408741854,5.139738278424511,10.328154731647498,4.013291837600552
428,-2.998396049,-17.460462183757347,1.7390426946902735,13.31705462332835,-9.826790548393793,-10.130826986020658,11.561717569671506
429,-16.706117499999998,-23.1707223068658,-2.2152412401993726,-4.923105830046127,-10.434803395761927,-29.53370857894858,-0.5934637892620276
430,11.6789414,15.085260795927914,2.8261307523140378,-0.9423584420819142,7.378101938183581,21.912417841847034,-7.738638478130333
488,-32.66753027,-37.66043489451499,-8.385757759554691,-6.623947416540754,-24.13191484640377,-32.686854685169656,-12.592530553807602
501,-20.90166486,-12.880619081734945,-7.000072590752247,-2.42632548496845,-11.900660321272294,-29.781718548750305,-19.487539678600818
502,0.12525043,-22.027461227520615,-7.153503227304248,27.402914975273475,-7.429281085011041,14.285864473235765,25.98434588923739
503,-34.49774706,-36.57200690012135,0.3454689357029972,-5.220246999521083,-14.558801408083902,-33.579274465369714,-25.92592705894312
504,,,4.283038228733217,17.894742546287578,,,-39.95902884855428
505,-43.52513754,-44.604259210800215,-0.6451305251955475,4.4068579631824525,-34.04702206029776,-44.1280631705282,-22.66006104351313
506,-20.50048232,-33.414145476112836,-18.235960917137216,-4.513987798628971,-19.11775216821365,-19.72297704037692,7.65018613918116
507,-15.68954461,-17.843086575027247,-6.5802457646607175,24.990037555200967,-8.132861225481447,-10.595506898601384,8.96482523486859
509,,,-8.904141711833622,,,,
510,-31.12361975,-43.146060798210364,-17.589518253898373,0.5964931599949264,-36.432116617399004,-16.371125615825378,-19.3420983900915
511,0.884909398,12.094332565680174,48.43753343646742,53.225757773507745,24.18285331074337,0.5882068790647343,16.32644806413708
513,-7.608400582000001,3.144503324878123,43.46234256931997,38.48389530974504,25.53752481941196,-9.936206929150005,3.7187790668407055
514,-22.01778718,-27.67890591996469,15.123352813180091,21.836839625614,-2.4039644928034565,-19.114197468192074,10.996651159013203
516,-3.608628068,-14.0188962368061,-7.2960365305007935,-8.612307835721001,-0.9800194523215012,-4.338889101923827,-15.677641946744568
517,-19.25745377,-23.201807891727213,-2.2156444769870443,29.549995938014888,21.02385537059705,-19.723096029765703,21.04366738558321
518,-36.74536,-41.46978580347296,0.2247083309210529,15.245565799233171,-25.29312035049473,-27.627583167528314,-10.074529330643056
519,-26.32285549,-38.51310743246571,-11.218658177784812,29.66099396941804,-10.613424880575495,-19.11767281658417,17.146003495290742
520,,,-9.756069777449994,-20.795055478465553,,,-30.521080157841787
521,-31.75125005,-40.69326952087678,0.6696950293516135,1.8059234465642948,-25.082997049358745,-32.848485207110464,-2.8089603774217875
522,,,70.03859427166653,,,,
523,-2.12090445,-9.788067641806308,-8.443712110620782,6.346168217837112,-4.9829084158025445,9.289448992730009,7.142783422000831
524,,,1.3412575706078345,11.6583657158005,-33.333364052648605,,-13.325581328340439
525,-5.587372628,-6.0177997960776946,-1.3540066963984132,-5.407987471560627,-18.862625503796338,-5.043178243715363,-15.674988723905315
526,-26.66662612,-32.573776056512735,2.0435174232451563,21.98488796138545,-13.246378642319154,-28.06289356265577,-4.505439506262432
527,-31.3212853,-37.59597871539967,-12.529804193658487,-6.241124827185117,-22.14319447753769,-29.12006381999296,6.223778231875897
528,-38.7980604,-43.88896014192262,11.581077046355741,8.808220005395581,-25.69972202953105,-34.91540935422971,2.8210370717792976
529,14.49077003,13.343000061862377,20.980177217156967,24.60578936183444,16.51932311642983,19.81997190408027,17.00892376146792
530,-30.79419429,-38.04966175464117,-5.100290008065289,-14.206770010290947,-32.5910519717533,-29.331183557074407,-20.766040205558266
531,26.79236101,28.264420318326945,70.40410229265909,98.93451294774931,65.23393687583061,17.629203869417864,71.12584319314614
532,-26.9325127,-32.87231488144244,5.498730295116139,8.267671555885968,-18.47832392449382,-11.532151474341324,-13.653895679992758
533,-38.75337711,-43.22493179858068,-4.555840957345813,-11.789460316530588,-24.91041158660966,-39.491276420452145,-14.716993866869199
534,-17.69190986,-35.70059075403542,12.473583047118321,31.03453899673807,-17.004669581085633,18.167914229097605,6.406310868935282
536,-13.70576145,-18.98006531059169,24.505745428491807,40.394210166242935,2.2435745809750838,-6.497776292875326,17.315625880255972
537,3.225866292,-7.2257526701640975,13.228399925304133,34.392502660377325,36.43273019190414,3.492911607986815,70.21275882425833
538,-10.53762175,4.316443143357729,20.77325820389282,12.159495108941808,5.2114756829272135,-11.85030322955859,-16.535783908263358
539,,,34.969353591783964,25.000043196174477,,,14.227732114033033
540,-27.09863806,-37.58564478175253,-8.209023791624393,15.855457743543866,0.2716535741122739,-10.630147502061805,24.028756977148703
541,-25.51629368,-36.35702471960465,-10.570014561718422,-11.487258879636094,-23.628366209776487,-23.326770652945036,-9.660143668324816
543,-32.40242728,-14.188328914060811,45.64420980360224,39.01080492913,27.405444869607855,-34.2467594586073,-13.863057751454866
544,4.864360887,-0.8419381751542776,12.288096406780813,-2.30417143021886,12.646085284967954,9.259226251633931,10.990062978949952
546,-35.65582023,-41.55746839456614,-14.81482446677489,2.8859920551560063,-34.10358561972233,-30.160248175317804,-16.222021394238514
547,4.5565396510000005,-7.316796434886463,11.513920310488926,24.52386772866868,-2.6070604479554667,2.383959313969064,15.913519213019025
548,-13.83335594,-24.50001097199029,20.800062792665507,17.968744998173914,-4.430361636141488,-17.237627710408002,12.147514415646146
550,-5.289799203,-16.270689303725778,-0.7899935577825645,6.803437881881647,6.007920683831669,-1.1113745641434971,18.382393901001493
551,-33.93862596,-44.49589414621846,-6.8943576873151775,-10.115570548082095,-36.334814218277394,-26.828176027746753,-26.7723099722656
552,,,6.626046765329696,29.05064133207292,,,13.140380872334068
554,-44.41515616,-49.42835322962635,-14.561692451967678,-16.545763408115878,-34.36076482713696,-39.28917745035695,-19.387744274809307
555,-23.38533644,-26.057962362678808,3.91226632050814,15.478173281324885,-21.327048650599245,-23.809551831154646,-17.30770350531615
558,-29.27752562,-44.61341130315258,-11.895128371637366,32.42429132091225,-0.22828996631147905,-25.500591880776273,44.55961405375819
559,-23.38319685,-34.09238712636654,-7.03548554039487,-6.378475666784087,-24.837234036441306,-24.23134486003375,-19.58231205548061
560,-19.52384538,-25.14285145000642,-1.7500022352350153,-3.5583298508397587,-14.285739480904935,-15.330715822087367,-6.111160386944258
561,-16.45865956,-22.701536846465782,4.1284500426676205,7.582875170102898,-10.512527150610516,-17.76541320510443,11.010446281235044
562,5.326235025,-1.0172481322630045,28.816282686790995,54.29114151405906,18.396674868788644,8.776301179025793,30.37040211480322
563,32.97305897,24.260265222466288,23.92527874199306,35.890365313635115,11.95516958193965,35.28878478690811,17.14285008683001
564,-17.56571792,-19.916990943887967,8.022391025380603,12.209278414787805,-5.700293734452722,-20.639197689225842,-2.295110404440026
565,-35.79361119,-44.12695839687468,3.377307356811121,14.100403352095926,-29.81059537810283,-37.38387503166003,-16.94052870979168
566,-17.45396317,-13.180472292058365,1.2591727851800627,-4.879306852605825,-22.80006273641552,-14.571785742911613,-29.36881266196003
567,-16.86595926,-14.741136314035295,21.360975583793305,27.128561353328127,1.2616714187678737,-16.42202348373154,-0.6350662326299439
568,-10.44690376,-4.19744094229203,8.237297085003359,13.431477067413988,8.765833654447428,-10.427022975814026,-5.0649626121420095
570,-13.24837703,-20.913837189694483,17.358366630296658,22.93575554309446,0.13321039524401002,-15.193001413114484,16.211527515990664
571,-32.79576447,-33.19898988600679,2.274999379991982e-05,-3.6821247840729154,-20.480027980289567,-25.48441407713797,-26.79356987235339
572,-31.17648153,-36.07843662952733,1.5575993935172727,1.5576360192343763,-26.244378673058065,-32.36995016008689,-9.067385040067393
573,-13.33318838,-20.761747471548254,-2.3474020243726583,9.186434137081868,-2.8036337434131364,2.2473376785318457,7.8200004616274725
576,-34.5348685,-38.30683844569647,18.13810902423736,10.179643453709007,-22.68909346174197,-24.68668690662209,-7.023861554188592
581,-13.8719969,-28.073557202740997,-12.010354119775512,-23.65557841412825,-16.002361390054286,-1.3010119509639595,-2.467195111017817
584,-15.01194594,-21.27667037087136,16.433616506852154,28.82011862659041,15.424582530668097,-9.786795390567814,29.316464795087146
585,-49.88294057,-52.22486063992668,-24.16359129211257,-22.7273028163974,-43.646444256235505,-50.000014020642396,-33.33334975603969
586,-28.78610446,-40.11559431706741,-9.91301207693487,-10.06935234254519,-23.935340077178672,-16.417888726690656,-7.088914245717104
587,,,12.977839235049315,44.59609475823135,22.68337253174917,,29.66326877371441
589,-16.38844008,-18.512842598089822,10.493801155364473,10.950417186635027,-1.8281460597831976,-13.184528719306163,2.990632764772005
590,4.640062375,18.00008697883426,57.417275859139224,59.11536064717365,40.476207615998064,4.6400623750388,19.23422280726237
591,-13.96232771,-16.226495089491888,8.823484871076982,20.2165627633033,0.4524451233005378,-13.962327705386846,-11.513624611571805
592,-0.518799314,-7.7690887009317695,52.5963944455482,41.65332906712537,3.057963014923537,4.070566917545815,-0.13026166931082714
593,-5.504677322,-13.761584121988735,1.8575712117007368,5.448686524756585,-10.476294969204902,-4.503404882580286,-2.567586357101881
594,-19.54310104,-37.81719604729873,6.060670105019673,18.35751056365671,-11.231786984849679,-20.55130644522829,29.918053619937076
595,-40.07027582,-44.815451452073575,-0.31748372134746683,-6.5475808142719565,-28.310465739349965,-35.53874965728484,-15.906209019745909
596,19.37855408,19.454359466445602,8.381657269905919,10.423766066957164,10.849271795791648,31.05258288853509,-0.4384581384090924
597,-38.24167457,-50.67912197259445,-4.827583089610767,-5.866322233787748,-30.30310547489593,-46.830837198600996,-5.4705088904467125
598,-5.289957668,-8.435751724274942,7.813335030638412,-0.2693630687613191,1.8237399627787363,2.2822996362850345,-4.145177743979178
599,-29.34429825,-36.2295550778717,-2.750022451276002,-0.7653474812864602,-18.95840044488637,-26.94921127636013,-5.6893016450333285
600,-21.67978861,-16.99232395628304,5.984978265444063,-3.4091628422701303,5.197885566320704,-22.13341927247089,-4.523851269194868
601,-25.17433859,-19.709521237550586,12.684325361655713,16.81958095025424,-2.30186513624131,-30.550188236569177,-19.819888376576177
603,-14.23586776,-33.57250630711158,-14.226309659953095,28.74337513390195,-33.08280036128172,-5.113394305862906,14.529921150812733
605,-11.60719895,-3.1994524959211965,17.10168300449444,63.23707896943787,7.431812975938468,,-3.257348793480286
606,-21.56015422,-32.82772430553308,22.28800421462667,6.896489456439259,-3.8759744173040067,-21.729741164967464,5.079750692389551
607,-15.99264155,-20.58826409719736,-3.355665573975497,27.05878127644959,-7.889147778517603,-23.06396095061941,6.526844605777682
608,-9.157627039,-6.044095548048234,4.2682254745849635,33.942496328735075,29.545352306738877,-14.186933333160868,11.460622702724564
609,,,0.6973355752000199,9.726500255730652,-14.858460395863116,,-7.551453524840557
610,-17.52017887,-27.912058972535892,4.0540583469620195,19.937656785565807,-3.2663065160357774,-7.491209977933144,15.768690160418085
611,,,-16.45101622555535,6.352858614930067,-47.98619402364349,,-12.592653730817206
612,-28.53143234,-34.921579914544246,-7.120028370822418,6.807692600269277,-23.568165851134967,-26.808325177010797,-4.850756443986947
613,-30.43492517,-30.03965641172277,6.948667369257878,11.671837097474413,-25.473760757588487,-32.69613792437344,-23.644277838960114
615,-25.24835247,-28.368934744872146,24.691258453760344,33.59772654563791,-11.558809677226256,-27.709326207040586,0.5724227492220235
616,-7.7011898689999985,-16.794653241053435,1.3635247461895703,14.667464919007726,0.5303395926558263,0.2556136555690314,22.601782183825
617,-35.90717386,-45.08712525613957,-3.7073134750714045,5.674487544302219,-20.01625353462732,-33.31532406485817,-3.4367919800807667
619,-22.30277059,-30.18663075764734,11.608604047327509,21.48015396880961,-5.874083152591347,-14.355431778451765,10.963053081657462
620,653.8451219,558.0314068872834,13.856523353039062,9.54723685965837,-9.995630304267355,,-10.511365456475108
623,-19.86360032,-26.216894223221196,-0.5139425358272831,11.48888832570767,-14.442683279748902,-15.614047181587852,-6.014275864131379
625,,,11.415488599700256,29.100624553189114,,,24.601474176416893
626,-8.774726446,-5.2151162722488085,35.02354216947676,42.59024865935432,7.61286461782391,-16.197635730103528,10.976856144368849
627,-29.47845608,-26.303858260919032,12.068982715373973,14.035086491830315,-7.407387229622018,-30.269073110800104,-4.307694665272743
628,,,0.00010227370570436989,-11.643712733146725,,,-38.45492149910107
629,-25.29359773,-40.56007514916993,-1.937381831706708,4.777048632283165,-17.9551097596783,-23.849000024293954,27.426833344043718
630,-9.294562827,-19.537837141761266,2.329090351310969,15.356129337192149,-0.3014437542623205,-4.755481340286483,18.675311054554665
631,-9.475907407000001,-20.84908282803475,-2.1813203500639866,35.717016967754624,2.8647760520886583,-5.5839145699706485,34.45198895503312
632,-26.01153783,-35.06742964327007,2.1212518953025006,7.667710266877759,-21.445254488291763,-27.134682682947226,-1.0309324706809009
633,-32.05606116,-31.401828969764814,1.6621118521383371,25.256049720906425,-31.465875542227817,-31.479692723679037,-24.81900220896009
635,-37.16818306,-48.672625911529856,-18.174344194544133,-22.05540167655952,-35.68174512715166,-33.46198550809384,-12.789079795720538
636,-14.14911092,-29.25431730224892,-2.116386530490033,15.805920548096509,-5.128200631658308,-18.19904076295171,19.733371891101914
637,-41.26937133,-50.13887087455625,-6.516804880941898,-12.604969395507515,-36.681875044198755,-46.79322188192974,-20.1954426418182
638,-27.22406028,-29.79639864545539,-2.2388014719685545,9.16666013730949,-15.483952614629679,-19.740000967142667,-7.1136070818317725
639,-28.92460296,-33.504559392758786,-16.813921213202498,-28.07869911150252,-36.79178444629685,-20.928620790972854,-41.50598890992158
650,-16.00136383,-9.116247615346607,5.746166834805442,7.683257994209992,-5.8751926539680985,-13.069055436395672,-12.110264975187846
651,-2.740788153,-11.058979505787024,2.5577935517116184,20.88582483867445,4.558098556817858,6.653868155716803,31.355932103093533
652,-43.25662855,-49.11316865690787,-2.9776253389308893,-7.345941297238834,-19.547319224868232,,-15.503896485326575
655,,,-20.91553139541996,,,,
656,5.036398973,-21.532873256179442,-18.99020454118076,-8.898299591226513,-11.88528709802923,9.180505058411658,34.485942139647214
659,-42.08995138,-45.171982073627774,5.296035141589762,-2.028915142889287,-23.873731422828733,-41.19900527771587,-27.14278900528613
661,-7.957870367999999,-0.505219131168122,38.51113675172202,35.02870556703384,20.86966561798502,-3.65793819746979,2.919087490562956
662,-28.77798416,-26.281296394435447,12.199951028417024,26.351248005727076,-32.082415088399536,-25.344441998072373,-7.0326400493639465
663,15.07664064,-8.362744906488729,52.250484637733784,45.96624600790143,17.52271040667994,19.73045506708777,33.835676788043834
665,34.47405391,12.270370497771356,-1.4652243121496489,18.606777023545032,33.83093475524619,29.919283228997173,15.982862147095144
666,-0.467530986,-11.09013374153347,29.039079407228012,32.394372082458375,8.333268178619168,14.43745624882804,21.59991963149137
667,-22.40801198,-27.759221028811364,-1.8182005642799923,-0.9174117930679792,-7.692297585774478,-23.9344015715136,3.1111965891966964
668,-14.28765719,-22.5732122361202,-10.066391409305677,7.114497212396742,-17.712747092464827,-12.717235649212821,-2.386245990994351
669,-36.82306372,-14.167877545844874,22.768136251904988,35.01298573939147,46.422499187499845,-19.45275461960614,-27.67488356365621
671,15.88512881,9.95157844932586,12.376172223162227,42.99205529710102,45.279966262338846,40.20258013055553,52.631530558281895
673,-48.3031671,-49.43439719688202,-12.524504726851792,-26.72133109546553,-31.65136645485024,-46.298467313128604,-30.652504628135052
676,-35.71418449,-37.10307953814076,4.276300681249468,6.375917734334058,-33.82043146697321,-37.08726522752632,-22.672988840642205
677,,,-35.807832113451546,,,,
678,-26.7371765,-37.61333569600811,-3.278706894711092,6.443262078999301,-28.546758733036672,-27.71985074713233,-3.3864890364640576
679,-14.48016867,-23.14349862224473,-4.018497426812873,1.6366834833051236,-17.19992768584887,-16.131300052236718,-1.1445058820005016
680,-36.78769288,-48.440059939260685,2.306620594631159,-0.08588001881070229,-28.16417150071357,-43.00847923784469,1.6635844800955146
682,-40.84508595,-48.200348808435315,-8.055591722225742,4.7467780569589335,-24.94341483826809,-31.397454627567647,-10.000005000482137
683,-24.58091113,-35.886609651035485,-8.7735179229815,-0.2061100185199116,-24.696230349298553,-19.45098012914942,-7.786780695849005
685,-6.311528705,-11.239261229659093,-2.862870156187969,2.1707946055744776,-0.2734552125179479,-1.5797924621972268,-1.9733967207175127
686,-6.965181833,-14.726332433757086,15.967547351853266,38.225886984949774,-1.5508192915614891,-4.249867629562054,22.14237761974043
687,-10.5982086,-14.871703627062091,-3.488321538196093,13.958897880240805,-8.45582371891782,-11.35588877831498,-7.433610490695607
