,bm
1,1.0264315419521803
2,1.0007177504847728
4,0.1127135992293194
5,0.4926789340125474
6,0.9435746992087812
7,0.08239578051220467
8,0.8303811668193617
9,0.92910496245126
10,0.35488114335444626
11,0.7283108970428438
12,1.176888520293657
14,0.4969489285696179
16,1.4163538333292724
17,0.010564699656887205
18,0.34349041835452104
19,1.625534095274772
20,0.16539347727598894
21,0.3977376828402389
23,0.2794450196382246
25,0.13525965286728842
26,0.9525733567518672
27,1.1521223813731472
28,0.9505862194990918
30,0.9124390620439774
31,1.2893183402781292
32,0.36168662361978987
34,0.5980238394695825
35,0.4432667932427744
36,0.9047132466489559
37,0.43690986376708696
38,0.7556552694588611
39,3.441363163975003
40,2.6654643462387453
42,1.417877570526191
43,0.3985839299293952
45,1.0178405589609736
46,1.3318262643979069
48,0.14112292193394546
49,0.31542917538040993
50,1.0627325948804045
55,1.3377279350687068
56,0.8533768918316984
58,0.4528758897215813
59,1.5315652140571194
60,0.7176762564485512
61,0.7219191915787017
62,0.35834262046362964
63,0.3597589863281399
65,0.870277365043683
66,0.2526207937972885
68,0.17691726676736244
69,1.8013006008821415
70,0.30087998316988657
78,0.8216094878620125
88,0.6484731638259086
89,0.5501482717710979
90,0.8770326289137365
96,0.4951720690331147
99,0.6598027090753583
100,1.5020172938669236
150,0.6601846555168837
151,0.378617634481586
153,0.6736607581262081
155,0.7976417857185791
156,0.8504780447779814
157,1.1895640493273751
158,0.724260558186131
159,0.6878071242467478
166,0.6754382541834556
301,2.540955305719696
333,0.2575315790109076
338,1.2397916081842115
400,0.9955131093623673
401,1.182266600432022
402,1.6096367173814494
403,0.07291083090458822
404,1.5240188392108929
407,0.9526878907462168
408,1.8543808163313056
409,0.955350796379753
410,0.09071671600936924
411,0.7752957788861292
413,1.531779779342988
415,4.2318629218031765
416,0.3060933743761493
417,1.3222673034770882
419,1.213584411189196
420,0.6788069564239528
421,1.4021934670086005
422,0.813221564085587
423,0.5570594158689841
425,1.029573554847846
426,0.6596767510254932
428,0.8693283819634958
429,1.0543511632212144
430,0.9255027360635594
488,2.880619001868985
498,1.2294237715223029
501,1.063876503345352
502,0.17045373139256667
503,0.08651360224407635
504,0.036604546017667834
505,1.178523508832233
506,0.3673331655080429
507,0.7525952752794901
509,0.0073628714174373815
510,0.4304772755121086
513,0.6949100630155151
514,1.0348972508730494
516,0.6132359969575633
517,0.6329950410654009
518,0.19164626541023186
519,0.8538984819978668
520,0.08974127708476788
521,1.9691974663896608
523,0.6025355920723353
524,1.2755523428689757
525,0.7175479359345373
526,0.02738286756640729
528,1.1787630889492997
529,0.4231303704174175
530,1.380303977752532
531,0.9162131345696816
532,0.28790574260551194
533,0.5548740832483354
534,0.341266051527837
536,1.321650883376041
537,5.2848646731564495
