,bm
1,1.8253730681855882
2,0.9169842691605344
4,0.17494416470367874
5,0.34086268518522084
6,0.7086575510069123
7,0.11261565898374765
8,0.40908372680184746
9,0.36655569369610375
10,0.06045883806200615
11,1.2355604919601666
12,0.6569247699082936
14,0.4026836172367787
16,2.1101085092634384
18,0.13999927836546994
19,0.6581706768119961
20,0.7007485770329456
21,0.6148324916883118
22,0.9494734712550804
23,0.4486640458129689
24,1.6499412831171645
25,0.21224735748191967
26,1.576379888481729
27,3.6350712694018137
28,0.24440350693540314
29,0.5402298055284259
31,1.1249681102432378
32,0.5512318860871789
33,0.21902582280014826
34,0.06893859622088924
36,0.7314720446088053
37,1.3799022396862617
38,0.8593108350557283
39,1.6648436123707144
40,0.6099289021403325
42,0.5272785966525186
43,0.8711764098078559
45,0.7709746684443336
46,0.4261662123198116
48,0.1854502053054408
49,0.05854412158069239
50,0.4825708260995774
55,0.5068625087704732
58,0.6100525484038001
59,1.3711562652094171
60,0.518203589073156
61,0.5089777464199927
62,0.2905752019324453
63,0.5505908354388881
65,0.4676878020410299
66,5.641413565420303
68,0.041378763567993165
69,1.2719346285251094
70,0.4646118155416055
78,0.2577582037547418
88,0.8155404284293404
89,1.232366542712518
90,0.8187578581587638
96,0.8656247762426982
99,0.606697878761582
100,1.1924761619715785
150,0.4064237872776265
151,0.5023351687611881
153,0.4813643533632454
155,1.0005872902780393
156,0.5018854710574125
157,1.3031297377412994
158,1.00710966984577
159,0.7368711906157941
301,0.7518264462279806
338,2.1888853926574265
400,0.32307546880557064
401,1.6041919421533992
402,1.322192066510303
403,0.11081913703245108
404,0.5755541452644704
407,0.3714640179020728
408,0.11983679996221
409,0.39543825750206535
410,0.635854869949766
411,0.4718493444722012
413,0.1104211719239874
415,3.4004863497479616
416,0.3213611030869918
417,0.7835930390867367
418,2.7698027537489773
419,0.7272626756516808
420,0.7561992806621709
421,0.8630401150848345
422,1.417351938322127
423,0.15793346564418687
425,1.1589497595544649
426,0.4667249679322173
428,0.43568975716403296
429,4.137136891668397
430,0.3408998271738146
488,3.3565541100908307
498,1.2434878404514054
501,0.5145528331112844
502,0.1987795325333985
503,0.09910089481097603
505,0.1855636587944121
506,0.3654359597580985
507,0.8266394648508338
510,0.3165745604043993
511,0.3216588023257894
513,0.4931321232130622
514,1.1307455974124594
516,0.4196788285147042
517,2.744213745139032
518,0.2524433172612735
519,0.17304912542770545
521,1.7733155193743666
523,0.3326093368815817
524,0.4227959762401807
525,0.8128705100169537
527,0.6203747053479608
528,1.4134911614540249
529,0.31175735609428185
530,1.199588334475885
531,0.7785115636253891
532,0.2152159601939648
533,0.4684018349054795
534,1.2627719838787588
536,0.7751091458514653
537,0.4140313919338485
538,0.09830425898873653
539,2.409751025654192
540,0.3029065428268466
541,0.7536757077803805
543,1.1650491237873268
544,0.26780801321826103
546,0.2242258893010198
547,0.7794700644728739
548,1.000414111064894
550,1.0293082352736909
551,0.5565017461793496
552,0.6864259857927412
553,0.3582362534700121
554,0.7119041454733442
558,0.5234340652684735
559,0.4616969950635236
560,1.0341913862491543
561,0.6405693583098837
562,0.4709572353919588
563,0.5121401193416261
564,1.7227551338580167
565,0.4989610408685802
566,0.2789174657409877
567,0.1804667088351576
