,coskew_1m,coskew_1y,coskew_2y,idioskew_1m,idioskew_1y,idioskew_2y,skew_1m,skew_1y,skew_2y
1,0.0005309626862495012,-0.05591328643890516,-0.004492525281203868,-0.4996210089510788,-0.041814098036514084,-0.199043423381972,-0.9420975752569138,-0.11086884527467317,-0.4785607796444517
2,-0.057934389446754574,0.1526116602200821,,-0.09657786468547347,0.7572868247926643,,-0.6697527965188356,1.1465644032828135,
5,-0.024566807918209168,0.052119218637966674,0.12686847104846075,0.9903504488028528,0.053978714045925504,1.0416040698627749,0.9285541890250592,0.6434575422549099,4.212062590012732
6,-0.18279767759541904,0.30912416646220386,0.006915702916815585,1.5781401389377212,0.6235925457099327,0.2807389625971545,0.8790709233061118,0.976853018897634,0.25917555211696536
8,0.2793678748548093,-0.16996565284666024,0.0592038036302261,0.9872318747857682,-0.07845844655344293,0.1384608325484388,0.8671273306020708,0.4910113663678035,2.0176968537523345
9,-0.24317627285018234,0.5631365729945172,0.02045071894985261,0.02390001128152836,-0.4180673837114382,0.4410769937758977,-0.9573652035885468,0.6354374087331165,0.8626183413303794
10,0.06346351543478855,0.4270968167532377,0.07037424932442865,0.3045590591867244,-0.7132815643788687,0.2732144046566735,0.8783297450690369,0.06026675288308375,3.4076310253907685
11,-0.4423439989896634,0.8719300343177694,0.012063310442509731,1.7087899723491986,0.5352677191945262,0.5895568374704395,0.6316050735305566,-0.13899462483248876,0.07330715688709269
12,-0.12677726047734642,0.08280177712934407,0.0043540687583439545,0.2649293249359331,0.7124351006020967,1.5725059785511482,-0.5445774818411412,0.3047497455711412,0.8174284053269034
14,0.09993871234957308,0.33569997413540004,0.01748464126690868,1.9019829565966395,-0.8868605611340308,1.239097854058958,1.4722261551500977,-0.4936305086360451,0.5597673986772014
16,-0.7733577357057746,-0.2223477843521129,0.0027890476175440205,-0.3063578303661958,-0.1771845753025723,-0.3635946625842632,-1.7976887104007009,-0.8470871757779267,-0.9103943972167547
17,-0.6303401608422493,0.9241905017483524,0.05078324740416237,1.173284018096133,-0.3401078698251743,0.05023672601474877,0.3290702594428511,-0.12110155475259822,1.330578783609225
18,-0.27907682222590025,0.4945075938224591,0.0442577294541338,-0.5655769104180044,0.6083830211914577,1.6456902705157703,-0.9015758241100978,-0.07905918194375061,1.2120026754106368
19,-0.7027181771752339,0.536758113455936,0.02249483038767705,2.1380461158216786,-0.18218334545615653,1.598258977066414,-0.4645265808796964,0.9015295810229385,1.5339467655845058
20,-0.008342430886214794,0.3645045801644223,0.08150417306846702,2.0429444227158866,0.6921428440682981,2.393266326089099,0.8606359671462882,0.255788121553956,2.7083340978635566
21,-0.025338165623181242,-0.164077489153597,0.010768447688388751,-0.6772351363310021,0.8896482127823289,0.34238345282858296,-1.619018861227958,1.6855183876347908,0.5361173268961433
22,-0.5729118394848038,-0.047687518870696166,,0.5078831138747646,0.4302285706632865,,-0.1568764422237834,0.8594619095086006,
23,-0.2629157631205349,0.4834814661855989,,0.6319794304800441,-0.5151974900920762,,-0.02494650006539313,0.6676800057002263,
25,-0.3965621840968795,0.25890298185162114,0.06228334573553378,3.1185960771955763,0.6694619287894301,1.1933354848726547,1.9404566294125345,1.5333156556197618,1.7725267862708445
26,-0.5835881289767867,0.17354406871130273,0.009466755951329306,-0.07619579874279465,-0.5130118012389442,-0.16070768868826146,-1.1384712699263122,-0.1333551604676591,-0.0361279627866973
27,-0.005571800223156786,0.03807433729754495,0.00105241807603643,1.3287756794642696,0.3883308900768371,0.6252435801280828,0.799350398625507,-0.007431480492532661,-0.08274129592361759
28,0.3891003240172001,-0.4942369233330377,-0.000850348950936667,-0.3538190148277989,0.19032740860018216,-0.15879083876295585,-0.1921235258058323,0.4192150131765443,0.3615059854954728
30,-0.23348154703478136,-0.13408261427908438,-0.002680793409778196,0.3967962190137127,0.19206190573860227,0.9994539159339,-0.1596825217062776,0.7975010925793011,-0.922190835427456
31,-0.2602343880216531,0.24233989904550346,-0.015574280366147528,0.7228563920562117,0.17221248428857486,1.7535774741790984,-0.2050706540133407,0.1371622702821058,1.7888994609129867
32,,0.08067138641051999,0.028207842077566436,,1.3122986294303478,2.5390686522438943,,0.8255934051080047,1.6457682558878997
34,,-0.6250224794439809,,,0.15214420313971566,,,0.4074034395924747,
35,-0.09741993354223666,-0.16588227885183576,-0.00793500516105694,-1.6356231828779166,0.4341151305949069,-0.137805593910394,-0.3646495911722288,-0.3582558863362271,-0.8797913437960129
36,-0.01641858151588936,-0.0045155290627077035,0.0018932016420005824,0.5687967589273029,0.8755123491235739,0.5931261323981082,0.33217605373968545,0.7743734810599693,0.4856466144230464
37,-0.3829104678391193,,,1.4219068407415711,,,-0.2358893203245841,,
38,-0.4375558188701215,0.646758861062405,,2.3440449048134084,0.19398153328532405,,0.06654197208888603,-0.4490449733731904,
39,-0.011610553080107732,0.018896614058530603,-0.02389095740398494,0.5984977919215838,-0.1294999976569125,1.4380736175971445,0.3689971432247233,0.7951834385499597,-1.1223131964692667
40,,-0.4280088708876412,0.028537162054376137,,0.5694095079601914,-0.00869238004282322,,1.6688294086483673,0.9693822882476048
42,-0.5016688907096967,,,-1.0553716457532485,,,-1.1311382584880747,,
43,-0.6857760044060999,1.1164462099484251,-0.011487231875692,0.6088573246464045,0.8759643207958105,-0.059412940914351085,-1.5474590317476025,0.3594846615899926,-0.3016432008791686
45,-0.5945234509811099,,0.014003409487290364,2.110676718846485,,-0.06575968103182711,0.056727422843320725,,-0.07110280174118186
46,0.003694109442699683,-0.13828633172791466,0.0036280605649304655,-0.2785324276739223,0.21831091879708905,0.4223044538312111,0.8035978840499212,-0.20687168404031128,0.036355507097444534
48,0.33316474642358984,,,0.08604181778956997,,,-0.38692127334885706,,
49,-0.05981740971706692,-0.2437226768649017,0.0019935066171869915,0.9318788003809948,-0.6017155732360864,0.4692258298251034,0.925996285077914,-0.9430952023573342,0.3309156482750689
50,-0.31770712789854144,,,1.6267221103661749,,,1.636949855291903,,
55,-0.026777174502225387,-0.2541172708555285,0.03723438227796482,0.08720346177282999,1.3110909868466696,0.4883908270037634,-0.1947868291080184,0.8975193127485026,0.8934486943571525
56,-0.1691080031870183,0.43781898611966463,0.013245375722527337,0.08666996220361009,-0.1685558935758953,-0.23161563334674365,-0.39620593459593134,0.3098633356129992,0.7913078067758343
58,-0.3933398222099115,0.049063893917808826,0.05276440808689617,1.4046020469530285,0.7403907154941513,1.7154462991481707,-1.0740527127605448,-0.10436828946951447,1.4477031045008877
59,0.006834939643838757,1.016564890937893,-0.005538493520914098,0.7393760396114344,-0.08396196209154615,1.0131807647605413,-0.3440463299503747,0.4377394832789725,-0.22944859949307195
60,-0.1558745928238509,0.016697599765751386,-0.015617629764259462,1.1664858294656921,-0.1906770727726122,1.2033921716874254,-0.8639601490230189,0.484255554439275,-0.2698105666896873
