code,size,size_cpi,size_ff,size_ffcpi
1,10.90365952397716,11.162031545148606,10.90365952397716,11.162031545148606
2,11.089320140381997,11.34769216155344,11.089320140381997,11.34769216155344
4,6.384673976923738,6.643045998095182,6.384673976923738,6.643045998095182
5,8.160414162060809,8.418786183232251,8.160414162060809,8.418786183232251
6,8.24880951981344,8.507181540984885,8.24880951981344,8.507181540984885
7,7.1717767541325275,7.430148775303974,7.1717767541325275,7.430148775303974
8,6.236274106193196,6.494646127364643,6.236274106193196,6.494646127364643
9,9.12838935012884,9.386761371300286,9.12838935012884,9.386761371300286
11,7.0316282753489405,7.290000296520388,7.0316282753489405,7.290000296520388
12,9.1025664274515,9.360938448622942,9.1025664274515,9.360938448622942
14,7.592241390533579,7.8506134117050275,7.592241390533579,7.8506134117050275
16,7.957027329717977,8.215399350889424,7.957027329717977,8.215399350889424
17,6.3781907909234254,6.636562812094871,6.3781907909234254,6.636562812094871
18,6.4741729713237595,6.732544992495207,6.4741729713237595,6.732544992495207
19,6.965315738102161,7.2236877592736075,6.965315738102161,7.2236877592736075
20,6.231169026102812,6.489541047274258,6.231169026102812,6.489541047274258
21,9.543700943814633,9.802072964986076,9.543700943814633,9.802072964986076
22,8.587404532267799,8.845776553439244,8.587404532267799,8.845776553439244
23,6.509720725796151,6.768092746967598,6.509720725796151,6.768092746967598
24,9.171489743453137,9.42986176462458,9.171489743453137,9.42986176462458
25,7.355795321113974,7.61416734228542,7.355795321113974,7.61416734228542
26,6.925011333178391,7.1833833543498375,6.925011333178391,7.1833833543498375
27,8.648083932086259,8.906455953257705,8.648083932086259,8.906455953257705
28,8.805556510766646,9.06392853193809,8.805556510766646,9.06392853193809
29,8.281484478055578,8.539856499227023,8.281484478055578,8.539856499227023
31,9.431751842504164,9.690123863675607,9.431751842504164,9.690123863675607
32,7.505666995446469,7.764039016617915,7.505666995446469,7.764039016617915
33,7.562009836961202,7.820381858132649,7.562009836961202,7.820381858132649
35,6.113077218118727,6.371449239290173,6.113077218118727,6.371449239290173
36,8.35955019286999,8.617922214041435,8.35955019286999,8.617922214041435
37,7.414925993697881,7.673298014869326,7.414925993697881,7.673298014869326
39,9.592361898230221,9.850733919401666,9.592361898230221,9.850733919401666
40,7.454383550195553,7.7127555713669995,7.454383550195553,7.7127555713669995
42,8.009317366047279,8.267689387218725,8.009317366047279,8.267689387218725
43,6.974922124297612,7.233294145469056,6.974922124297612,7.233294145469056
45,7.653643722117541,7.912015743288988,7.653643722117541,7.912015743288988
46,8.177681265216078,8.436053286387523,8.177681265216078,8.436053286387523
48,7.386696083685668,7.6450681048571125,7.386696083685668,7.6450681048571125
49,7.967697814424,8.226069835595446,7.967697814424,8.226069835595446
50,7.7342141174016925,7.992586138573135,7.7342141174016925,7.992586138573135
55,7.595356056647107,7.853728077818552,7.595356056647107,7.853728077818552
56,7.059578924793272,7.317950945964718,7.059578924793272,7.317950945964718
58,7.8918400034417076,8.150212024613152,7.8918400034417076,8.150212024613152
59,8.938993602331127,9.197365623502574,8.938993602331127,9.197365623502574
60,9.928799773129807,10.187171794301252,9.928799773129807,10.187171794301252
61,9.240877780663098,9.499249801834543,9.240877780663098,9.499249801834543
62,7.184100385196111,7.442472406367557,7.184100385196111,7.442472406367557
63,10.685656482328392,10.944028503499839,10.685656482328392,10.944028503499839
65,8.18993270920537,8.448304730376817,8.18993270920537,8.448304730376817
66,9.030039654709887,9.288411675881331,9.030039654709887,9.288411675881331
68,8.084927320905605,8.34329934207705,8.084927320905605,8.34329934207705
69,9.559425156394909,9.817797177566352,9.559425156394909,9.817797177566352
70,7.5122059799278205,7.770578001099267,7.5122059799278205,7.770578001099267
78,8.869972337579803,9.128344358751251,8.869972337579803,9.128344358751251
88,7.837720961051439,8.096092982222885,7.837720961051439,8.096092982222885
89,8.141899890827368,8.400271911998813,8.141899890827368,8.400271911998813
90,8.177077106837324,8.43544912800877,8.177077106837324,8.43544912800877
96,7.861229993589298,8.119602014760744,7.861229993589298,8.119602014760744
99,7.393254270109518,7.651626291280963,7.393254270109518,7.651626291280963
100,9.259657735246982,9.518029756418427,9.259657735246982,9.518029756418427
150,6.907871932177888,7.166243953349334,6.907871932177888,7.166243953349334
151,7.984343161229709,8.242715182401152,7.984343161229709,8.242715182401152
153,7.34621231206992,7.604584333241367,7.34621231206992,7.604584333241367
155,7.859297317868927,8.117669339040374,7.859297317868927,8.117669339040374
157,10.210141256735264,10.468513277906707,10.210141256735264,10.468513277906707
158,8.592571035512611,8.850943056684056,8.592571035512611,8.850943056684056
159,8.491658139323334,8.75003016049478,8.491658139323334,8.75003016049478
301,8.644175002531467,8.902547023702912,8.644175002531467,8.902547023702912
338,9.756753726059287,10.015125747230735,9.756753726059287,10.015125747230735
400,8.844908663529068,9.103280684700511,8.844908663529068,9.103280684700511
401,9.801813950739668,10.060185971911114,9.801813950739668,10.060185971911114
402,9.934952853728786,10.193324874900233,9.934952853728786,10.193324874900233
404,7.767856509586568,8.026228530758015,7.767856509586568,8.026228530758015
407,7.9294617173910735,8.187833738562519,7.9294617173910735,8.187833738562519
408,7.519868077405257,7.778240098576702,7.519868077405257,7.778240098576702
409,7.081960503951442,7.340332525122888,7.081960503951442,7.340332525122888
410,8.607679719733365,8.86605174090481,8.607679719733365,8.86605174090481
411,7.437390896370001,7.695762917541447,7.437390896370001,7.695762917541447
413,7.805828238373995,8.06420025954544,7.805828238373995,8.06420025954544
415,7.766551533023755,8.024923554195201,7.766551533023755,8.024923554195201
416,8.170660076259686,8.429032097431133,8.170660076259686,8.429032097431133
417,8.835135983300276,9.093508004471722,8.835135983300276,9.093508004471722
418,8.420598587091789,8.678970608263233,8.420598587091789,8.678970608263233
419,8.039415640994669,8.297787662166115,8.039415640994669,8.297787662166115
420,7.34026253654296,7.598634557714406,7.34026253654296,7.598634557714406
421,7.418642750835495,7.677014772006941,7.418642750835495,7.677014772006941
422,8.840183516975143,9.098555538146593,8.840183516975143,9.098555538146593
